profession,city,state,combined
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mumbai '],['maharashtra '],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mumbai ', 'maharashtra ']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pen'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pen', 'maharashtra']"
"['design', 'engineer', 'consultant']",['bangalore '],['karnataka '],"['design', 'engineer', 'consultant', 'bangalore ', 'karnataka ']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['research', 'development', 'institution']",['thane'],['maharashtra'],"['research', 'development', 'institution', 'thane', 'maharashtra']"
"['agencies', 'deal', 'instrumentation']",['ahmedabad'],['gujarat'],"['agencies', 'deal', 'instrumentation', 'ahmedabad', 'gujarat']"
"['agencies', 'deal', 'instrumentation']",['mumbai'],['maharashtra'],"['agencies', 'deal', 'instrumentation', 'mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune '],['maharashtra '],"['design', 'engineer', 'consultant', 'pune ', 'maharashtra ']"
"['agencies', 'deal', 'instrumentation']",['ahmedabad'],['gujarat'],"['agencies', 'deal', 'instrumentation', 'ahmedabad', 'gujarat']"
"['investor', 'banker', 'venture', 'capitalist']",['latur'],['maharashtra'],"['investor', 'banker', 'venture', 'capitalist', 'latur', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['satara'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'satara', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['satara'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'satara', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['thane'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'thane', 'maharashtra']"
"['academician', 'student']",['kalyan'],['maharashtra'],"['academician', 'student', 'kalyan', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune'],['mh'],"['design', 'engineer', 'consultant', 'pune', 'mh']"
"['renewable', 'energy', 'project', 'developer']",['gurgaon'],['haryana'],"['renewable', 'energy', 'project', 'developer', 'gurgaon', 'haryana']"
"['engineer', 'operator', 'new', 'technology']",['mohali'],['punjab'],"['engineer', 'operator', 'new', 'technology', 'mohali', 'punjab']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['sinnar nashik'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'sinnar nashik', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['nagpur'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'nagpur', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['nagpur'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'nagpur', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['navi mumbai'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['alappuzha '],['kerala '],"['engineer', 'operator', 'new', 'technology', 'alappuzha ', 'kerala ']"
"['engineer', 'operator', 'new', 'technology']",['chalisgaon'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'chalisgaon', 'maharashtra']"
"['academician', 'student']",['rajahmundry'],['andhra pradesh'],"['academician', 'student', 'rajahmundry', 'andhra pradesh']"
"['design', 'engineer', 'consultant']",['ahmedabad'],['gujarat'],"['design', 'engineer', 'consultant', 'ahmedabad', 'gujarat']"
"['engineer', 'operator', 'new', 'technology']",['kalyan'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'kalyan', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra ']"
"['academician', 'student']",['alibag'],['maharashtra'],"['academician', 'student', 'alibag', 'maharashtra']"
"['investor', 'banker', 'venture', 'capitalist']",['pune'],['maharashtra'],"['investor', 'banker', 'venture', 'capitalist', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['kalyan'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'kalyan', 'maharashtra']"
"['academician', 'student']",['kolhapur'],['maharashtra'],"['academician', 'student', 'kolhapur', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mahuva'],['gujarat'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mahuva', 'gujarat']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra '],"['design', 'engineer', 'consultant', 'pune', 'maharashtra ']"
"['engineer', 'operator', 'new', 'technology']",['chiplun'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'chiplun', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['shirol'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'shirol', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['satara'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'satara', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['chennai'],['tamilnadu'],"['engineer', 'operator', 'new', 'technology', 'chennai', 'tamilnadu']"
"['engineer', 'operator', 'new', 'technology']",['dombivli'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'dombivli', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['sangli'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'sangli', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['rajkot'],['gujarat'],"['engineer', 'operator', 'new', 'technology', 'rajkot', 'gujarat']"
"['academician', 'student', 'engineering', 'college']",['vapi'],['gujarat'],"['academician', 'student', 'engineering', 'college', 'vapi', 'gujarat']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['kolkata'],['west bengal'],"['engineer', 'operator', 'new', 'technology', 'kolkata', 'west bengal']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['design', 'engineer', 'consultant']",['naperville'],['illinois'],"['design', 'engineer', 'consultant', 'naperville', 'illinois']"
"['engineer', 'operator', 'new', 'technology']",['pune '],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'pune ', 'maharashtra ']"
"['academician', 'student', 'engineering', 'college']",['ambarnath'],['near bethel church school'],"['academician', 'student', 'engineering', 'college', 'ambarnath', 'near bethel church school']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mumbai'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['pen'],['maharastra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'pen', 'maharastra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['raigarh'],['chhattisgarh '],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'raigarh', 'chhattisgarh ']"
"['academician', 'student']",['pune'],['maharashtra'],"['academician', 'student', 'pune', 'maharashtra']"
"['design', 'engineer', 'consultant']",['thane'],['maharashtra'],"['design', 'engineer', 'consultant', 'thane', 'maharashtra']"
"['academician', 'student']",['kalyan '],['maharashtra '],"['academician', 'student', 'kalyan ', 'maharashtra ']"
"['academician', 'student']",['sangli'],['maharashtra'],"['academician', 'student', 'sangli', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['nashik'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'nashik', 'maharashtra']"
"['academician', 'student', 'engineering', 'college']",['panvel'],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'panvel', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['pune'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'pune', 'maharashtra']"
"['design', 'engineer', 'consultant']",['vadodara'],['gujarat'],"['design', 'engineer', 'consultant', 'vadodara', 'gujarat']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['india'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'india']"
"['engineer', 'operator', 'new', 'technology']",['pen'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pen', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pen'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pen', 'maharashtra']"
"['academician', 'student']",['mysore'],['maharashtra'],"['academician', 'student', 'mysore', 'maharashtra']"
"['design', 'engineer', 'consultant']",['kalyan '],['maharashtra'],"['design', 'engineer', 'consultant', 'kalyan ', 'maharashtra']"
"['academician', 'student']",['islampur'],['maharashtra'],"['academician', 'student', 'islampur', 'maharashtra']"
"['academician', 'student']",['karad'],['maharashtra'],"['academician', 'student', 'karad', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['design', 'engineer', 'consultant']",['navi mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['tirupati'],['andhra pradesh'],"['engineer', 'operator', 'new', 'technology', 'tirupati', 'andhra pradesh']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai '],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai ', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['delhi'],['delhi'],"['engineer', 'operator', 'new', 'technology', 'delhi', 'delhi']"
"['design', 'engineer', 'consultant']",['jamshedpur'],['jharkhand'],"['design', 'engineer', 'consultant', 'jamshedpur', 'jharkhand']"
"['design', 'engineer', 'consultant']",['mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'mumbai', 'maharashtra']"
"['academician', 'student']",['pune'],['maharashtra'],"['academician', 'student', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['raigad'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'raigad', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pimpri-chinchwad'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pimpri-chinchwad', 'maharashtra']"
"['design', 'engineer', 'consultant']",['ichalkaranji '],['maharashtra '],"['design', 'engineer', 'consultant', 'ichalkaranji ', 'maharashtra ']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['new mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'new mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['renewable', 'energy', 'project', 'developer']",['pune'],['maharashtra'],"['renewable', 'energy', 'project', 'developer', 'pune', 'maharashtra']"
"['research', 'development', 'institution']",['pune'],['maharashtra'],"['research', 'development', 'institution', 'pune', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['pune'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['thane'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'thane', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['surat'],['gujarat'],"['engineer', 'operator', 'new', 'technology', 'surat', 'gujarat']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai '],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'mumbai ', 'maharashtra ']"
"['agencies', 'deal', 'instrumentation']",['navi mumbai'],['maharashtra'],"['agencies', 'deal', 'instrumentation', 'navi mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['nagpur'],['maharashtra'],"['design', 'engineer', 'consultant', 'nagpur', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['panvel'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'panvel', 'maharashtra']"
"['design', 'engineer', 'consultant']",['mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'mumbai', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['pune'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'pune', 'maharashtra']"
"['academician', 'student']",['pune'],['020'],"['academician', 'student', 'pune', '020']"
"['engineer', 'operator', 'new', 'technology']",['dombivli'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'dombivli', 'maharashtra']"
"['design', 'engineer', 'consultant']",['mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'mumbai', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mumbai'],['maharshtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mumbai', 'maharshtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['ujjain'],['madhya pradesh'],"['engineer', 'operator', 'new', 'technology', 'ujjain', 'madhya pradesh']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['nanded'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'nanded', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['mumbai'],['maharastra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'mumbai', 'maharastra']"
"['engineer', 'operator', 'new', 'technology']",['daund '],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'daund ', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['thane'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'thane', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['barshi'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'barshi', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['vadodara'],['gujarat'],"['engineer', 'operator', 'new', 'technology', 'vadodara', 'gujarat']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['pune'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['academician', 'student']",['kurundwad'],['maharashtra'],"['academician', 'student', 'kurundwad', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['nagothane '],['maharashtra '],"['engineer', 'operator', 'new', 'technology', 'nagothane ', 'maharashtra ']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['karmala'],['maharastra '],"['engineer', 'operator', 'new', 'technology', 'karmala', 'maharastra ']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['mumbai'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'mumbai', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['pune'],['mh'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'pune', 'mh']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['mumbai'],['maharashtra'],"['design', 'engineer', 'consultant', 'mumbai', 'maharashtra']"
"['design', 'engineer', 'consultant']",['vashi'],['maharashtra'],"['design', 'engineer', 'consultant', 'vashi', 'maharashtra']"
"['academician', 'student', 'engineering', 'college']",['mumbai'],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'mumbai', 'maharashtra']"
"['academician', 'student', 'engineering', 'college']",['mumbai'],['maharastra'],"['academician', 'student', 'engineering', 'college', 'mumbai', 'maharastra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['baramati'],['maharashtra'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'baramati', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['raigarh'],['chattisgarh'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'raigarh', 'chattisgarh']"
"['engineer', 'operator', 'new', 'technology']",['georai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'georai', 'maharashtra']"
"['agencies', 'deal', 'instrumentation']",['vadodara'],['gujarat'],"['agencies', 'deal', 'instrumentation', 'vadodara', 'gujarat']"
"['academician', 'student', 'engineering', 'college']",['thane '],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'thane ', 'maharashtra']"
"['academician', 'student', 'engineering', 'college']",['navi mumbai'],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'navi mumbai', 'maharashtra']"
"['academician', 'student', 'engineering', 'college']",['akola'],['maharashtra'],"['academician', 'student', 'engineering', 'college', 'akola', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['dombivali'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'dombivali', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['thane'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'thane', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['panvel'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'panvel', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['panvel'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'panvel', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['mumbai '],['maharashtra '],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'mumbai ', 'maharashtra ']"
"['design', 'engineer', 'consultant']",['pune'],['maharashtra'],"['design', 'engineer', 'consultant', 'pune', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['jaysingpur'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'jaysingpur', 'maharashtra']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['satara'],['maharshtra '],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'satara', 'maharshtra ']"
"['agencies', 'deal', 'instrumentation']",['delhi'],['delhi'],"['agencies', 'deal', 'instrumentation', 'delhi', 'delhi']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['ahmedabad'],['gujarat'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'ahmedabad', 'gujarat']"
"['purchase', 'personnel', 'boiler', 'manufacturing', 'company']",['gautam buddha nagar'],['uttar pradesh'],"['purchase', 'personnel', 'boiler', 'manufacturing', 'company', 'gautam buddha nagar', 'uttar pradesh']"
"['engineer', 'operator', 'new', 'technology']",['mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['walwa sangli'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'walwa sangli', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['navi mumbai'],['maharashtra'],"['engineer', 'operator', 'new', 'technology', 'navi mumbai', 'maharashtra']"
"['engineer', 'operator', 'new', 'technology']",['valsad '],['gujarat '],"['engineer', 'operator', 'new', 'technology', 'valsad ', 'gujarat ']"
"['purchase', 'personnel', 'boiler', 'user', 'industry']",['new delhi'],['delhi'],"['purchase', 'personnel', 'boiler', 'user', 'industry', 'new delhi', 'delhi']"
