Industry,Company Size,Package Type,Sponsorship Amount,Duration (months),Marketing Activities,Event Type,Event Month,Attendee Demographics,ROI Metrics,Feedback
3,1,0,17825,2.0,2,2,9,3,3.0,0
2,1,0,76934,12.0,3,3,11,1,3.7,1
2,1,2,36312,4.0,3,3,2,3,2.8,1
0,2,0,98920,12.0,0,1,11,0,2.6,2
3,2,2,12141,9.0,0,1,3,3,2.5,0
1,2,2,79934,10.0,1,0,3,2,2.2,2
1,2,0,56145,11.0,1,3,8,3,2.1,0
0,1,2,33012,6.0,3,2,7,3,2.9,2
0,1,1,37985,6.0,1,0,7,3,2.6,1
2,2,0,58005,12.0,1,3,4,0,3.8,1
3,0,1,36693,2.0,0,0,1,4,3.2,1
0,2,2,82576,3.0,0,3,9,4,3.7,0
5,2,0,90038,11.0,1,3,10,3,2.3,1
1,1,1,72443,9.0,0,1,10,2,2.8,2
0,1,0,14817,5.0,3,0,12,2,2.1,0
5,0,0,15608,4.0,0,3,4,4,2.7,2
0,2,1,11703,8.0,3,0,3,1,4.3,0
1,2,2,84115,6.0,2,2,2,0,2.8,1
1,0,0,89948,3.0,0,0,1,1,2.3,0
1,0,2,15875,4.0,0,0,4,0,2.1,2
2,2,2,16919,6.0,0,0,7,2,3.8,1
5,0,2,69225,7.0,2,2,3,1,3.3,1
3,2,2,80234,11.0,1,2,6,4,3.4,1
3,1,2,35148,4.0,0,0,8,0,4.7,0
4,0,0,43638,11.0,0,1,2,2,2.6,0
1,0,0,90038,7.0,1,1,3,1,2.3,0
4,0,0,45028,2.0,2,3,3,1,4.6,2
2,1,1,58200,6.0,0,0,10,1,3.3,2
1,0,0,62305,12.0,0,0,7,1,2.3,2
0,2,1,52034,1.0,2,0,7,3,3.9,2
5,1,0,61240,8.0,3,3,3,1,2.5,2
4,0,1,31921,1.0,0,1,6,0,4.3,0
5,2,1,88423,8.0,1,0,7,2,2.7,0
4,0,2,83574,5.0,3,2,7,4,4.7,0
1,2,1,59785,4.0,0,0,9,3,3.6,2
0,2,1,37531,6.0,3,3,3,3,4.9,1
1,0,1,13200,11.0,0,0,6,1,3.0,1
0,2,1,39915,9.0,0,2,10,0,2.4,0
1,1,0,89262,7.0,3,1,5,0,3.8,1
2,0,2,28900,9.0,3,1,7,2,3.8,2
4,1,1,79492,4.0,3,1,1,3,4.5,0
5,2,0,10308,2.0,3,1,6,0,2.1,0
5,2,1,95257,7.0,3,3,4,0,2.4,0
3,2,1,65250,7.0,2,3,4,1,3.6,1
4,1,2,18836,12.0,2,3,1,1,2.3,2
0,2,2,95623,3.0,2,2,12,0,3.2,0
4,0,0,98968,9.0,3,3,4,1,4.6,2
5,2,1,36349,11.0,0,2,2,4,4.7,0
4,2,0,75735,1.0,2,0,8,4,4.3,0
3,0,1,42715,6.0,1,2,1,4,2.2,2
2,0,2,20988,10.0,1,1,10,1,4.7,2
5,2,2,88236,10.0,2,0,3,4,4.4,2
2,1,1,44450,9.0,0,3,4,0,4.0,2
2,2,2,72689,3.0,0,1,6,0,2.9,0
4,2,0,71849,6.0,1,2,6,2,2.3,2
0,0,1,81051,12.0,3,3,12,3,4.1,2
3,0,1,87438,2.0,2,2,1,3,2.0,1
2,2,1,29605,10.0,3,2,9,4,4.6,0
2,0,0,76581,5.0,1,2,11,0,4.1,0
3,0,2,69228,11.0,1,2,3,1,4.9,1
5,2,1,21429,2.0,3,1,6,4,2.6,2
5,2,1,54675,10.0,3,2,7,2,4.8,0
5,0,0,93269,3.0,2,2,8,3,2.6,2
3,2,1,93347,2.0,0,1,6,2,4.1,1
1,0,1,43938,7.0,0,2,2,0,3.5,2
2,1,0,14953,10.0,2,1,9,4,3.7,2
2,1,1,63980,1.0,0,3,3,2,3.6,1
5,0,0,70233,10.0,1,0,7,1,3.2,2
3,2,2,71526,3.0,1,2,4,4,2.4,1
5,0,0,20894,2.0,2,0,10,4,3.8,0
4,2,2,85972,11.0,2,1,7,4,3.9,2
2,1,2,94593,10.0,2,0,1,0,4.5,2
2,2,0,53321,1.0,0,3,2,4,4.5,1
3,2,1,14879,4.0,0,2,2,2,3.7,0
3,1,2,30644,1.0,0,2,1,4,3.8,1
4,1,2,92256,5.0,2,3,6,1,4.4,2
1,0,2,37128,5.0,0,2,7,0,2.4,1
2,0,2,18963,11.0,3,0,6,4,4.6,0
1,1,1,91336,5.0,1,1,3,0,2.9,0
0,0,1,65857,7.0,3,1,12,0,3.4,0
4,1,2,18737,7.0,2,1,12,1,2.4,2
1,2,0,14472,8.0,3,1,3,4,3.3,1
3,0,1,89786,6.0,3,1,3,0,4.0,0
0,0,0,42576,5.0,2,1,8,2,3.6,0
5,1,1,49514,6.0,0,0,3,2,4.3,2
5,2,1,39408,10.0,0,0,2,4,4.0,2
4,0,1,72738,12.0,2,3,7,1,3.7,2
1,2,2,44701,10.0,1,1,12,4,2.6,2
3,0,1,55967,5.0,2,1,1,1,3.1,0
0,2,1,34199,8.0,1,3,6,4,3.7,0
5,1,2,24863,3.0,0,0,1,1,2.7,1
4,0,0,13050,4.0,1,2,6,2,2.1,0
3,0,1,74072,3.0,2,0,8,1,3.4,2
2,1,2,32655,10.0,0,3,11,4,2.9,0
3,2,1,42273,8.0,2,1,6,0,3.8,0
2,1,0,74816,7.0,2,0,6,4,4.1,0
5,1,2,28576,2.0,1,1,6,0,3.3,1
4,1,1,21209,1.0,3,2,8,4,4.2,1
3,1,1,97128,6.0,3,3,3,4,2.9,0
3,2,2,75066,2.0,2,2,12,2,2.1,0
5,0,2,33262,6.0,2,2,8,2,3.6,1
5,2,2,85811,1.0,2,2,7,3,3.3,2
2,2,0,65131,3.0,2,1,11,2,2.7,1
4,0,0,51440,6.0,2,2,10,3,5.0,0
0,1,1,65979,10.0,3,3,10,4,2.7,1
0,0,1,27468,8.0,1,0,10,1,3.0,1
0,0,1,28687,2.0,1,1,8,0,3.4,0
0,2,0,21552,12.0,1,3,12,2,3.6,2
0,1,1,95779,12.0,1,1,3,2,2.0,2
1,1,0,90316,12.0,2,1,3,4,2.1,2
5,1,1,98277,8.0,2,1,8,4,4.1,1
0,0,1,64191,12.0,3,3,2,0,4.5,2
1,2,1,72207,1.0,1,3,10,2,2.8,2
2,2,1,82254,11.0,2,0,11,4,3.5,1
5,0,2,52850,8.0,2,2,4,2,4.5,2
0,0,0,39813,1.0,2,0,2,0,3.4,0
2,0,2,70099,8.0,2,3,7,3,2.8,0
5,1,2,94348,9.0,3,1,7,4,3.1,1
3,1,1,16283,9.0,1,2,7,1,3.2,1
4,1,1,32122,5.0,0,2,11,2,3.9,2
4,0,1,88157,6.0,0,2,1,4,2.0,2
5,1,1,45528,8.0,2,1,1,3,3.4,0
2,1,0,71494,8.0,0,1,10,1,3.2,2
5,1,0,98590,7.0,1,2,8,4,4.8,0
5,1,2,84219,12.0,2,2,8,4,4.9,2
4,1,0,73293,2.0,3,1,3,3,3.1,0
2,1,2,29673,3.0,2,0,2,2,2.3,0
2,1,2,83371,9.0,1,0,3,0,3.3,2
1,0,0,18445,6.0,2,2,7,4,4.4,1
2,0,2,47528,11.0,0,1,6,2,2.2,1
2,0,0,29436,10.0,1,3,7,0,2.9,1
2,1,2,79187,9.0,2,1,2,4,2.9,2
3,1,2,76794,2.0,2,0,9,4,4.0,2
3,1,1,38202,7.0,1,3,8,3,2.0,0
2,1,2,78871,2.0,3,0,10,2,4.8,2
0,2,1,23142,2.0,2,3,8,2,2.9,2
0,0,2,98257,7.0,0,3,10,0,3.6,1
1,0,1,11264,9.0,3,0,3,0,5.0,2
4,0,0,63275,5.0,3,3,2,3,3.3,2
5,0,1,11037,2.0,3,3,4,0,4.0,0
4,1,1,67756,7.0,1,2,12,1,2.5,0
2,1,1,79930,2.0,0,1,12,0,3.7,2
3,2,2,94243,11.0,0,0,11,0,2.1,0
5,0,1,97197,12.0,2,1,4,0,2.2,2
1,0,2,34110,10.0,0,3,10,0,3.2,1
3,1,2,80287,8.0,0,3,10,0,4.8,0
2,2,1,35768,3.0,2,2,4,4,4.7,0
5,0,0,46948,5.0,2,1,8,1,3.0,1
0,2,1,35210,3.0,0,2,3,4,2.8,1
3,1,0,47654,7.0,1,1,2,0,3.5,2
2,1,1,58626,10.0,1,2,8,4,3.0,2
3,0,1,54980,1.0,2,2,3,2,3.3,0
2,0,1,32700,3.0,1,2,3,4,4.9,1
5,1,1,48564,5.0,3,2,2,1,3.8,0
0,2,1,55506,9.0,2,3,8,0,4.1,0
4,1,1,33381,2.0,1,0,3,2,4.8,2
1,0,2,25594,10.0,0,3,2,0,3.8,0
4,1,1,13058,3.0,1,2,6,3,4.8,0
1,2,1,17152,3.0,3,0,11,4,3.5,1
1,0,1,74412,9.0,0,3,3,4,2.5,0
0,0,2,61505,11.0,0,0,3,2,2.6,1
5,1,1,54766,1.0,0,1,10,0,4.3,2
5,1,2,51934,10.0,0,1,6,4,3.9,0
5,0,0,16236,12.0,3,1,8,4,2.3,2
5,0,0,16323,3.0,1,3,7,1,4.6,2
1,0,2,83853,6.0,3,0,6,2,2.1,2
1,2,0,82383,6.0,1,1,1,2,2.7,1
3,0,2,48399,11.0,2,3,1,1,2.1,2
2,2,1,55733,5.0,2,1,9,0,3.2,2
2,2,0,13664,7.0,2,0,3,0,3.9,2
3,1,2,69740,10.0,0,0,10,0,4.8,0
5,2,0,94338,7.0,1,1,6,2,2.6,0
3,0,2,49861,5.0,3,1,10,1,3.9,2
4,0,0,58407,10.0,1,0,3,4,4.8,1
0,0,0,13857,11.0,0,1,10,2,3.1,2
5,0,2,19669,12.0,0,0,10,0,4.7,0
0,1,1,96296,7.0,0,1,9,4,4.2,1
4,2,0,56055,6.0,1,0,4,0,2.9,1
5,0,2,82798,9.0,3,0,7,0,2.2,2
4,0,1,98018,10.0,3,0,9,3,4.7,2
5,2,1,74761,1.0,3,2,7,1,3.7,0
5,2,1,36470,6.0,2,1,6,2,2.1,2
0,2,0,41466,2.0,2,0,7,3,3.4,0
5,0,1,19290,11.0,1,3,12,4,4.3,1
3,1,2,10037,8.0,3,0,5,0,2.6,0
4,0,0,56695,2.0,0,2,6,0,3.7,0
1,1,2,21715,7.0,2,0,5,4,3.0,0
3,2,1,11225,8.0,0,0,3,2,4.7,1
1,0,2,94389,5.0,1,2,12,2,3.7,2
5,0,1,28301,10.0,1,0,7,4,2.2,1
5,2,0,74413,9.0,3,0,8,3,3.7,0
4,2,0,29725,6.0,1,3,6,1,2.4,1
4,0,1,93453,6.0,3,0,1,1,3.9,0
2,2,0,37915,9.0,1,0,4,2,2.2,1
0,0,0,22279,8.0,3,0,7,4,3.0,1
5,1,0,35322,7.0,3,0,12,0,2.7,0
1,2,2,70600,4.0,1,2,9,2,4.9,1
1,0,0,68483,12.0,3,0,2,1,2.6,2
2,0,1,97935,7.0,0,0,9,1,3.4,0
0,0,2,40140,2.0,0,3,6,1,2.6,0
0,0,2,75102,3.0,3,0,6,4,4.2,1
5,0,0,68011,9.0,3,2,7,4,2.7,2
1,1,2,72301,10.0,2,2,11,3,3.2,1
4,1,1,79841,2.0,3,2,6,1,2.6,2
5,1,2,63450,12.0,0,1,7,3,2.6,1
3,0,0,89470,7.0,3,3,9,3,2.9,0
2,2,0,96955,11.0,2,0,10,0,3.6,2
0,2,1,25148,1.0,0,2,9,3,2.2,2
1,0,1,67690,9.0,1,0,3,4,4.8,0
4,2,0,90647,12.0,2,0,2,3,3.4,0
3,0,1,38415,7.0,0,3,9,2,2.7,2
4,1,2,20085,3.0,2,2,5,4,2.0,2
2,0,0,67765,11.0,3,3,3,3,3.5,1
2,2,1,66340,4.0,3,2,4,1,4.9,0
0,1,2,16461,4.0,3,3,3,4,4.6,1
3,2,2,29398,2.0,2,2,6,4,4.2,0
3,2,0,10576,11.0,3,3,10,4,2.1,0
5,2,0,13754,7.0,3,1,3,4,4.9,0
0,1,0,99998,8.0,2,0,12,3,2.6,0
1,0,1,21883,3.0,0,3,7,1,3.1,1
2,1,0,91952,2.0,0,0,6,0,2.2,0
1,1,0,53020,1.0,3,3,10,1,5.0,2
3,2,2,97782,2.0,0,3,3,2,4.6,0
4,1,1,36695,11.0,1,3,2,0,4.3,0
3,1,0,99685,3.0,2,3,10,4,2.6,0
0,1,1,43601,12.0,3,3,8,2,4.0,1
0,2,0,62676,2.0,1,0,12,2,3.4,0
1,0,1,82288,12.0,2,2,4,1,2.9,1
1,2,2,72733,12.0,3,2,12,3,3.2,2
1,2,1,58144,11.0,2,1,9,0,4.0,0
2,0,1,35798,12.0,2,2,10,4,4.3,2
3,1,0,30414,11.0,0,0,12,3,2.6,0
5,1,2,72099,2.0,1,0,8,0,2.7,2
3,1,1,60481,4.0,1,0,4,4,3.5,0
3,1,2,37653,6.0,2,3,4,0,2.4,0
2,0,1,40056,6.0,1,2,1,1,3.7,2
1,0,1,27743,12.0,1,2,10,1,3.1,0
0,1,1,61784,12.0,1,3,3,4,2.7,0
3,2,2,51716,3.0,0,0,7,1,2.8,1
3,0,2,96963,7.0,1,3,9,4,4.3,2
4,2,2,53099,9.0,0,3,2,1,4.6,1
4,1,1,26159,3.0,2,2,11,0,2.4,1
0,2,1,24260,4.0,3,3,3,1,2.8,1
2,2,1,60477,8.0,3,0,7,1,3.4,1
2,2,2,58284,8.0,1,3,7,1,3.5,2
0,2,1,14927,10.0,1,3,3,3,4.9,2
0,0,2,75137,10.0,0,0,8,4,3.6,2
2,0,0,13197,5.0,1,3,6,0,4.1,1
0,2,0,91179,1.0,2,0,9,4,2.6,2
5,1,0,27463,11.0,1,2,2,1,4.8,1
4,1,0,79743,3.0,3,0,11,4,3.5,0
0,2,1,43505,11.0,0,3,4,0,3.5,1
3,1,1,97002,1.0,2,1,7,3,2.9,2
2,1,2,44906,7.0,2,1,2,2,3.9,0
0,0,0,58250,6.0,1,0,6,2,3.4,1
2,0,0,30754,12.0,0,2,6,0,3.3,1
4,1,0,85813,12.0,0,2,8,0,3.1,1
2,0,1,32455,2.0,1,0,8,0,3.9,1
1,2,2,24298,3.0,0,1,6,3,4.6,2
0,1,0,75557,7.0,3,2,11,0,4.9,0
3,1,0,33003,2.0,3,1,2,0,2.9,0
1,0,1,57821,2.0,2,1,8,2,4.8,0
3,1,2,39327,12.0,0,3,12,3,2.5,1
4,0,2,80346,5.0,0,0,12,3,3.1,0
4,1,2,37716,9.0,0,3,12,1,3.8,1
0,2,1,76468,1.0,2,0,3,0,3.1,1
3,0,1,77582,3.0,1,2,4,1,4.5,2
3,2,2,52293,4.0,3,0,10,2,2.1,0
5,2,1,13756,11.0,0,2,4,4,4.9,1
4,2,2,18088,8.0,0,1,3,4,3.9,2
0,0,2,23320,2.0,0,0,6,0,4.9,0
0,1,2,60305,3.0,0,2,1,1,2.7,0
0,2,1,39814,7.0,0,3,2,3,3.4,2
5,0,1,90261,5.0,0,0,4,3,4.9,0
2,2,1,15680,6.0,0,1,6,0,2.4,2
5,0,2,31692,5.0,2,1,12,4,2.8,2
2,0,2,62514,2.0,0,1,8,0,2.5,2
5,1,0,60465,3.0,1,0,3,1,2.8,2
2,2,1,12518,11.0,1,1,3,4,4.6,0
5,0,0,48044,2.0,2,3,10,2,4.4,2
3,0,1,70791,1.0,3,2,2,2,3.5,0
0,0,2,34394,11.0,3,3,9,4,4.6,1
4,2,1,40026,8.0,2,1,8,2,2.5,1
3,0,1,35231,9.0,0,1,3,2,3.4,1
5,1,0,38810,8.0,3,2,6,0,4.6,0
5,1,1,25445,9.0,1,0,2,3,2.2,1
2,0,2,72591,2.0,1,1,4,3,3.5,1
3,0,1,10835,2.0,2,3,9,1,2.7,0
3,2,1,42673,2.0,3,1,9,2,4.9,0
3,2,1,93742,1.0,2,2,6,2,2.2,0
0,0,1,89056,9.0,3,2,7,4,4.6,1
1,1,1,25229,9.0,1,3,2,2,2.9,0
3,1,0,10103,2.0,1,3,4,2,4.1,1
1,0,0,42849,12.0,1,0,7,3,3.9,1
1,1,0,16311,7.0,1,1,6,2,3.0,1
0,0,1,98837,9.0,0,1,12,2,3.9,0
5,1,2,92709,1.0,2,1,10,3,3.2,2
4,2,2,92846,7.0,3,2,4,3,3.6,2
4,0,1,92357,2.0,3,3,10,2,3.5,1
3,0,1,17626,9.0,3,1,7,4,4.9,2
4,1,0,39746,9.0,2,1,1,3,3.5,2
1,0,0,80366,4.0,1,2,10,0,3.6,1
2,1,2,42903,3.0,3,1,12,4,2.2,1
2,0,0,88103,1.0,1,2,3,2,3.7,2
0,1,2,18878,12.0,0,2,10,1,2.1,0
3,1,2,89450,6.0,2,1,4,2,2.6,0
5,0,2,77222,11.0,1,3,9,1,4.8,2
4,1,2,93656,3.0,1,0,3,0,3.1,1
2,0,0,73791,8.0,2,0,8,1,2.3,2
3,0,1,95377,9.0,0,3,8,3,4.6,0
0,0,0,83662,11.0,2,1,7,0,4.8,1
5,2,2,86237,8.0,3,3,8,1,4.4,2
4,1,0,82983,4.0,0,0,10,2,3.5,1
2,0,2,54127,1.0,2,3,8,2,3.8,2
4,1,0,58571,4.0,2,2,7,2,3.3,0
0,1,1,18900,12.0,2,3,10,4,4.3,1
3,2,0,28706,9.0,1,3,12,2,4.5,0
0,2,2,26876,1.0,1,2,9,1,4.1,0
2,2,2,87241,8.0,2,1,1,2,4.4,2
2,2,0,37991,9.0,2,1,11,0,3.0,0
3,2,1,67851,9.0,0,1,2,3,2.8,1
0,2,0,85166,3.0,0,0,11,2,3.0,1
3,2,0,59972,6.0,1,2,7,0,4.2,2
5,0,0,90730,9.0,3,3,1,1,4.6,1
1,0,2,22407,9.0,0,0,4,4,2.3,1
3,0,2,46266,3.0,3,3,8,2,2.8,1
5,1,1,64649,7.0,2,2,12,2,3.1,2
0,0,1,57823,12.0,2,1,6,0,2.5,1
4,0,1,83321,12.0,1,1,9,3,3.5,2
5,1,1,92177,7.0,0,0,1,1,5.0,2
1,1,2,25503,5.0,1,1,2,2,2.4,1
2,1,2,79655,6.0,3,0,10,4,3.5,0
4,2,2,12883,9.0,1,1,5,4,4.2,2
5,0,2,85025,9.0,3,0,3,3,4.8,2
1,2,2,30963,12.0,2,1,9,0,4.7,1
3,2,0,85561,8.0,0,3,6,0,2.1,1
3,2,1,68122,12.0,2,1,4,4,4.3,0
1,1,0,20933,12.0,2,2,10,0,3.8,1
2,1,2,22723,12.0,0,1,3,2,3.8,2
5,1,2,30479,12.0,3,2,3,2,2.8,0
2,1,1,17118,8.0,0,2,2,1,3.0,1
1,2,0,37527,8.0,2,1,12,2,4.9,0
4,2,2,47500,7.0,0,1,3,4,4.7,2
4,1,2,74075,1.0,2,0,8,0,4.5,0
1,0,2,61475,1.0,0,1,2,3,4.7,1
3,2,2,90145,8.0,2,3,2,1,3.7,2
2,1,2,34699,5.0,1,1,1,3,4.4,0
3,2,1,31638,2.0,1,2,12,2,2.2,0
1,1,2,14715,11.0,0,1,8,2,3.7,0
1,2,0,12676,5.0,2,0,10,3,2.8,1
1,1,0,61373,10.0,1,2,7,4,4.1,0
2,1,0,88527,10.0,1,0,6,1,2.7,0
1,1,1,52590,1.0,3,1,7,4,3.5,0
1,1,1,65368,7.0,2,2,12,1,2.8,0
4,1,1,60091,2.0,2,0,10,2,4.7,1
2,2,0,86095,7.0,1,1,11,0,4.9,0
0,2,1,98910,1.0,2,0,2,2,2.4,1
1,0,2,55477,11.0,1,3,12,4,4.6,2
4,0,1,20185,10.0,3,1,11,4,2.3,2
1,1,0,65855,5.0,3,2,7,1,2.1,0
4,2,1,93540,9.0,2,0,10,2,3.5,0
0,1,2,16241,3.0,1,0,3,3,3.5,0
0,0,2,44779,11.0,1,0,4,2,3.8,2
2,1,2,89295,7.0,3,1,7,2,4.2,0
0,0,0,79036,3.0,2,0,1,0,4.3,2
5,1,1,44489,8.0,3,1,11,2,2.1,2
4,0,0,68373,9.0,3,2,3,3,3.8,1
2,1,0,11444,6.0,2,3,6,3,3.1,0
2,1,0,85960,12.0,2,3,9,2,3.3,2
5,1,0,42886,12.0,3,0,6,4,3.1,0
3,0,0,32932,7.0,3,0,7,3,4.1,2
5,0,0,38803,8.0,3,2,6,1,4.9,0
1,2,2,74948,6.0,1,0,11,0,2.1,1
0,0,0,61852,1.0,1,2,5,1,2.4,1
0,0,0,55095,8.0,0,0,2,1,2.5,1
3,1,2,98925,7.0,1,2,6,3,4.6,2
2,2,0,62736,7.0,2,2,1,0,2.7,0
5,2,2,28420,2.0,1,2,2,0,2.9,0
1,2,0,51189,11.0,0,3,4,1,3.6,1
2,2,0,18470,12.0,3,0,10,4,4.9,0
3,0,1,89968,3.0,3,3,3,0,3.0,1
0,0,1,29150,4.0,2,1,8,1,4.7,0
2,0,2,32282,4.0,1,3,6,3,2.9,0
5,2,2,45546,9.0,2,2,3,0,3.6,0
5,1,1,53935,8.0,3,2,10,4,4.2,1
3,0,1,11352,9.0,2,0,3,1,2.4,1
2,1,1,55663,12.0,2,0,1,3,3.1,0
0,1,1,81222,4.0,0,2,8,3,5.0,1
4,1,2,98166,7.0,2,3,4,2,3.5,0
2,1,2,83512,12.0,1,2,10,2,2.3,1
5,2,0,76950,1.0,0,2,2,4,3.7,1
4,2,1,78338,7.0,0,2,2,2,3.5,0
0,1,1,28413,6.0,2,2,4,1,2.5,1
1,1,1,97718,10.0,0,3,3,1,3.1,0
0,0,1,28794,6.0,0,3,11,1,3.1,0
0,1,1,11001,6.0,1,3,9,1,2.7,1
0,1,1,94825,6.0,2,1,6,2,4.3,1
0,1,1,85018,6.0,1,0,10,3,3.3,2
2,1,0,31669,10.0,3,1,2,4,3.2,0
3,0,2,17760,11.0,2,2,8,2,2.0,2
5,2,1,53959,6.0,3,2,2,2,4.8,1
1,0,2,66857,1.0,2,3,6,2,2.2,2
2,1,0,62199,10.0,3,2,11,3,3.8,1
2,0,0,74954,12.0,0,2,6,2,4.6,0
3,2,0,67317,1.0,0,1,4,0,2.7,2
5,2,0,84238,7.0,3,3,9,2,3.4,1
0,1,0,57344,11.0,2,2,4,3,2.9,0
4,2,2,52474,6.0,3,3,10,3,3.2,1
4,1,2,24223,7.0,3,3,1,3,4.7,0
0,1,1,75800,1.0,1,2,3,4,2.8,2
1,1,2,59977,9.0,2,1,9,3,3.1,0
2,1,2,99982,11.0,1,3,3,3,4.8,1
3,1,1,12928,1.0,0,3,6,4,4.3,0
2,2,0,95898,9.0,3,1,8,3,4.9,0
5,0,1,86907,4.0,0,1,11,3,3.9,0
2,2,2,86939,3.0,0,2,2,2,3.2,1
1,1,1,24138,2.0,0,2,8,3,2.9,0
5,2,2,79818,8.0,0,2,10,1,3.5,1
3,0,1,66616,3.0,1,1,6,0,3.4,1
0,1,2,33094,1.0,3,1,9,2,3.9,2
1,1,2,29975,8.0,0,1,4,3,2.8,2
3,0,2,27079,6.0,2,3,11,0,5.0,0
5,1,2,70311,8.0,3,0,1,2,2.5,2
4,2,0,56207,2.0,1,2,3,0,5.0,2
1,1,1,28972,10.0,2,1,11,2,4.4,1
2,0,0,18844,4.0,2,3,8,1,2.6,1
0,0,1,56916,10.0,3,3,7,4,2.1,2
0,0,1,25329,11.0,1,0,8,0,3.1,2
5,0,0,11149,2.0,1,3,7,4,3.0,2
3,2,0,52322,10.0,0,2,12,2,3.4,1
5,0,1,88751,10.0,1,2,10,1,2.3,1
2,2,2,56594,6.0,3,1,1,2,4.3,0
5,1,2,55049,6.0,3,3,7,2,4.6,1
0,1,0,46347,4.0,0,1,2,2,2.4,1
