Sponsor ID,Sponsor Name,Industry,Company Size,Package Type,Sponsorship Amount,Duration (months),Marketing Activities,Event ID,Event Name,Event Type,Event Date,Event Month,Attendee Demographics,ROI Metrics,Feedback
140,Sponsor 140,Wellness,Small,Co-Sponsor,21429,2,Social media mentions,240,Event 240,Exhibition,2024-06-28,6,Tech enthusiasts,2.6,Positive
141,Sponsor 141,Wellness,Small,Co-Sponsor,54675,10,Social media mentions,241,Event 241,Seminar,2024-07-04,7,Healthcare providers,4.8,Negative
142,Sponsor 142,Wellness,Large,Associate Sponsor,93269,3,Promotional materials,242,Event 242,Seminar,2024-08-08,8,IT professionals,2.6,Positive
143,Sponsor 143,Retail,Small,Co-Sponsor,93347,2,Booth space,243,Event 243,Exhibition,2024-06-30,6,Healthcare providers,4.1,Neutral
144,Sponsor 144,Finance,Large,Co-Sponsor,43938,7,Booth space,244,Event 244,Seminar,2025-02-11,2,Finance professionals,3.5,Positive
145,Sponsor 145,Healthcare,Medium,Associate Sponsor,14953,10,Promotional materials,245,Event 245,Exhibition,2024-09-10,9,Tech enthusiasts,3.7,Positive
146,Sponsor 146,Healthcare,Medium,Co-Sponsor,63980,1,Booth space,246,Event 246,Workshop,2025-03-06,3,Healthcare providers,3.6,Neutral
147,Sponsor 147,Wellness,Large,Associate Sponsor,70233,10,Logo placement,247,Event 247,Conference,2024-07-25,7,General public,3.2,Positive
148,Sponsor 148,Retail,Small,Title Sponsor,71526,3,Logo placement,248,Event 248,Seminar,2025-04-14,4,Tech enthusiasts,2.4,Neutral
149,Sponsor 149,Wellness,Large,Associate Sponsor,20894,2,Promotional materials,249,Event 249,Conference,2024-10-04,10,Tech enthusiasts,3.8,Negative
150,Sponsor 150,Technology,Small,Title Sponsor,85972,11,Promotional materials,250,Event 250,Exhibition,2024-07-21,7,Tech enthusiasts,3.9,Positive
151,Sponsor 151,Healthcare,Medium,Title Sponsor,94593,10,Promotional materials,251,Event 251,Conference,2025-01-11,1,Finance professionals,4.5,Positive
152,Sponsor 152,Healthcare,Small,Associate Sponsor,53321,1,Booth space,252,Event 252,Workshop,2025-02-10,2,Tech enthusiasts,4.5,Neutral
153,Sponsor 153,Retail,Small,Co-Sponsor,14879,4,Booth space,253,Event 253,Seminar,2025-02-07,2,Healthcare providers,3.7,Negative
154,Sponsor 154,Retail,Medium,Title Sponsor,30644,1,Booth space,254,Event 254,Seminar,2025-01-29,1,Tech enthusiasts,3.8,Neutral
155,Sponsor 155,Technology,Medium,Title Sponsor,92256,5,Promotional materials,255,Event 255,Workshop,2024-06-05,6,General public,4.4,Positive
156,Sponsor 156,Finance,Large,Title Sponsor,37128,5,Booth space,256,Event 256,Seminar,2024-07-19,7,Finance professionals,2.4,Neutral
157,Sponsor 157,Healthcare,Large,Title Sponsor,18963,11,Social media mentions,257,Event 257,Conference,2024-06-30,6,Tech enthusiasts,4.6,Negative
158,Sponsor 158,Finance,Medium,Co-Sponsor,91336,5,Logo placement,258,Event 258,Exhibition,2025-03-12,3,Finance professionals,2.9,Negative
159,Sponsor 159,Automotive,Large,Co-Sponsor,65857,7,Social media mentions,259,Event 259,Exhibition,2024-12-01,12,Finance professionals,3.4,Negative
160,Sponsor 160,Technology,Medium,Title Sponsor,18737,7,Promotional materials,260,Event 260,Exhibition,2024-12-06,12,General public,2.4,Positive
161,Sponsor 161,Finance,Small,Associate Sponsor,14472,8,Social media mentions,261,Event 261,Exhibition,2025-03-01,3,Tech enthusiasts,3.3,Neutral
162,Sponsor 162,Retail,Large,Co-Sponsor,89786,6,Social media mentions,262,Event 262,Exhibition,2025-03-27,3,Finance professionals,4.0,Negative
163,Sponsor 163,Automotive,Large,Associate Sponsor,42576,5,Promotional materials,263,Event 263,Exhibition,2024-08-10,8,Healthcare providers,3.6,Negative
164,Sponsor 164,Wellness,Medium,Co-Sponsor,49514,6,Booth space,264,Event 264,Conference,2025-03-29,3,Healthcare providers,4.3,Positive
165,Sponsor 165,Wellness,Small,Co-Sponsor,39408,10,Booth space,265,Event 265,Conference,2025-02-07,2,Tech enthusiasts,4.0,Positive
166,Sponsor 166,Technology,Large,Co-Sponsor,72738,12,Promotional materials,266,Event 266,Workshop,2024-07-09,7,General public,3.7,Positive
167,Sponsor 167,Finance,Small,Title Sponsor,44701,10,Logo placement,267,Event 267,Exhibition,2024-12-30,12,Tech enthusiasts,2.6,Positive
168,Sponsor 168,Retail,Large,Co-Sponsor,55967,5,Promotional materials,268,Event 268,Exhibition,2025-01-23,1,General public,3.1,Negative
169,Sponsor 169,Automotive,Small,Co-Sponsor,34199,8,Logo placement,269,Event 269,Workshop,2024-06-06,6,Tech enthusiasts,3.7,Negative
170,Sponsor 170,Wellness,Medium,Title Sponsor,24863,3,Booth space,270,Event 270,Conference,2025-01-30,1,General public,2.7,Neutral
171,Sponsor 171,Technology,Large,Associate Sponsor,13050,4,Logo placement,271,Event 271,Seminar,2024-06-19,6,Healthcare providers,2.1,Negative
172,Sponsor 172,Retail,Large,Co-Sponsor,74072,3,Promotional materials,272,Event 272,Conference,2024-08-05,8,General public,3.4,Positive
173,Sponsor 173,Healthcare,Medium,Title Sponsor,32655,10,Booth space,273,Event 273,Workshop,2024-11-09,11,Tech enthusiasts,2.9,Negative
174,Sponsor 174,Retail,Small,Co-Sponsor,42273,8,Promotional materials,274,Event 274,Exhibition,2024-06-03,6,Finance professionals,3.8,Negative
175,Sponsor 175,Healthcare,Medium,Associate Sponsor,74816,7,Promotional materials,275,Event 275,Conference,2024-06-25,6,Tech enthusiasts,4.1,Negative
176,Sponsor 176,Wellness,Medium,Title Sponsor,28576,2,Logo placement,276,Event 276,Exhibition,2024-06-29,6,Finance professionals,3.3,Neutral
177,Sponsor 177,Technology,Medium,Co-Sponsor,21209,1,Social media mentions,277,Event 277,Seminar,2024-08-13,8,Tech enthusiasts,4.2,Neutral
178,Sponsor 178,Retail,Medium,Co-Sponsor,97128,6,Social media mentions,278,Event 278,Workshop,2025-03-20,3,Tech enthusiasts,2.9,Negative
179,Sponsor 179,Retail,Small,Title Sponsor,75066,2,Promotional materials,279,Event 279,Seminar,2024-12-18,12,Healthcare providers,2.1,Negative
180,Sponsor 180,Wellness,Large,Title Sponsor,33262,6,Promotional materials,280,Event 280,Seminar,2024-08-02,8,Healthcare providers,3.6,Neutral
181,Sponsor 181,Wellness,Small,Title Sponsor,85811,1,Promotional materials,281,Event 281,Seminar,2024-07-19,7,IT professionals,3.3,Positive
182,Sponsor 182,Healthcare,Small,Associate Sponsor,65131,3,Promotional materials,282,Event 282,Exhibition,2024-11-07,11,Healthcare providers,2.7,Neutral
183,Sponsor 183,Technology,Large,Associate Sponsor,51440,6,Promotional materials,283,Event 283,Seminar,2024-10-17,10,IT professionals,5.0,Negative
184,Sponsor 184,Automotive,Medium,Co-Sponsor,65979,10,Social media mentions,284,Event 284,Workshop,2024-10-12,10,Tech enthusiasts,2.7,Neutral
185,Sponsor 185,Automotive,Large,Co-Sponsor,27468,8,Logo placement,285,Event 285,Conference,2024-10-24,10,General public,3.0,Neutral
