Event_Type,Location,Ticket_Price,Weather_Condition,Attendance_Count,Day_of_Week,Month
3,0,56.0,1,124.0,4,4
1,4,24.0,2,453.0,6,3
0,3,16.0,1,284.0,2,3
1,1,99.0,2,406.0,6,10
1,1,89.0,2,231.0,4,4
2,3,31.0,0,392.0,5,4
2,3,93.0,1,478.0,5,4
3,1,85.0,1,489.0,5,11
3,3,26.0,2,341.0,4,2
1,4,28.0,0,466.0,5,3
0,0,80.0,1,346.0,0,12
2,0,96.0,1,120.0,5,11
0,3,33.0,2,194.0,2,5
0,2,76.0,1,320.0,5,12
3,0,64.0,0,340.0,6,10
3,2,51.0,0,390.0,1,3
2,2,77.0,2,224.0,2,2
2,1,15.0,0,274.0,1,7
3,1,69.0,1,413.0,3,8
3,3,37.0,1,124.0,5,11
1,0,44.0,0,385.0,6,12
3,3,61.0,2,60.0,0,12
0,0,64.0,2,498.0,4,8
2,2,29.0,2,199.0,1,2
1,0,55.0,0,309.0,3,10
0,1,53.0,1,143.0,4,8
0,1,55.0,0,232.0,4,6
1,4,76.0,2,353.0,1,3
2,4,42.0,1,388.0,3,11
0,3,20.0,0,141.0,3,5
3,1,13.0,0,60.0,1,8
3,4,15.0,1,251.0,4,8
2,0,17.0,1,343.0,4,4
1,1,44.0,0,124.0,2,6
2,4,84.0,1,94.0,2,5
3,3,90.0,0,134.0,2,8
0,0,82.0,0,395.0,6,1
3,2,19.0,2,208.0,4,12
2,3,31.0,1,172.0,0,12
2,4,32.0,2,74.0,5,10
0,2,82.0,2,139.0,6,9
3,1,57.0,1,277.0,5,8
1,3,40.0,2,437.0,6,6
3,4,51.0,0,435.0,6,7
1,1,54.0,2,150.0,5,9
0,3,40.0,0,369.0,1,10
1,3,45.0,1,65.0,5,11
3,3,95.0,0,66.0,2,2
1,1,35.0,1,286.0,0,7
1,2,66.0,2,197.0,1,4
3,0,43.0,0,207.0,3,12
2,0,10.0,2,429.0,1,10
0,1,93.0,0,408.0,1,7
2,4,54.0,1,492.0,0,3
0,3,18.0,1,58.0,3,3
3,2,40.0,1,69.0,0,4
3,4,82.0,2,156.0,3,10
3,0,86.0,2,340.0,2,5
1,4,98.0,2,459.0,5,8
0,4,45.0,1,360.0,0,2
2,2,32.0,0,227.0,0,2
1,3,18.0,1,391.0,0,8
3,2,58.0,2,387.0,3,4
3,1,94.0,2,272.0,5,4
3,1,86.0,2,356.0,4,10
2,1,17.0,1,490.0,6,5
1,0,75.0,0,322.0,1,1
0,1,65.0,1,225.0,2,4
0,4,70.0,0,185.0,4,12
2,2,97.0,1,117.0,4,10
0,0,19.0,0,81.0,5,5
1,2,85.0,0,190.0,2,10
2,4,60.0,0,174.0,3,3
2,2,60.0,0,103.0,4,7
1,2,65.0,2,146.0,6,11
1,0,21.0,1,398.0,0,3
1,1,90.0,0,331.0,1,3
2,3,35.0,0,230.0,3,11
3,1,96.0,2,400.0,1,9
0,4,14.0,1,491.0,5,2
3,0,11.0,1,238.0,0,1
2,0,50.0,1,455.0,5,7
2,0,63.0,1,370.0,0,6
1,0,73.0,1,478.0,4,4
2,4,71.0,0,259.0,5,5
2,4,63.0,1,303.0,2,6
1,0,85.0,1,467.0,2,3
2,0,91.0,1,442.0,4,10
2,3,99.0,1,234.0,2,9
1,4,78.0,2,308.0,3,3
1,1,24.0,2,92.0,0,1
3,2,54.0,0,396.0,1,11
3,1,77.0,0,176.0,5,1
0,1,69.0,0,109.0,3,8
2,2,12.0,0,186.0,5,3
2,0,37.0,1,363.0,0,3
3,0,10.0,0,393.0,5,1
0,4,66.0,1,283.0,4,2
2,2,98.0,2,204.0,0,11
1,1,62.0,0,457.0,4,3
2,0,50.0,1,422.0,0,9
3,3,88.0,2,71.0,1,6
3,4,72.0,2,57.0,6,11
3,0,91.0,2,258.0,2,2
2,2,59.0,2,147.0,1,1
2,2,99.0,0,110.0,2,8
2,0,44.0,0,157.0,3,2
2,2,38.0,2,459.0,5,3
1,3,29.0,1,393.0,0,2
2,2,76.0,1,389.0,0,9
2,1,97.0,2,91.0,0,5
2,3,45.0,0,100.0,1,8
2,1,44.0,0,321.0,0,1
1,2,87.0,1,390.0,1,3
2,1,54.0,1,437.0,4,8
0,1,59.0,1,262.0,1,2
0,2,23.0,0,313.0,4,2
2,1,31.0,1,120.0,2,12
3,4,78.0,0,434.0,5,6
2,3,65.0,0,483.0,4,4
3,0,42.0,1,353.0,3,8
3,0,63.0,0,117.0,4,8
2,0,72.0,1,240.0,5,5
2,4,57.0,1,195.0,6,11
0,3,100.0,1,472.0,0,7
1,2,16.0,2,454.0,3,6
2,1,81.0,0,459.0,2,9
1,1,87.0,2,115.0,5,1
1,3,67.0,1,269.0,4,6
3,3,26.0,1,55.0,6,3
1,4,79.0,2,269.0,4,5
2,0,58.0,1,300.0,3,3
0,3,96.0,2,205.0,3,1
1,2,18.0,0,245.0,0,1
3,4,42.0,1,122.0,4,6
0,4,29.0,0,194.0,2,7
1,0,93.0,2,59.0,0,7
1,4,79.0,2,57.0,6,3
3,2,45.0,1,382.0,6,10
2,0,18.0,2,75.0,3,12
0,3,36.0,2,138.0,2,1
0,1,29.0,1,316.0,2,6
3,4,62.0,2,181.0,3,12
2,3,98.0,1,373.0,1,9
3,3,51.0,0,94.0,0,11
1,2,43.0,1,278.0,1,9
3,0,33.0,1,264.0,0,3
0,1,54.0,2,166.0,3,3
2,3,23.0,2,127.0,2,3
0,3,76.0,2,224.0,2,12
1,2,30.0,0,409.0,3,9
1,4,28.0,0,253.0,2,8
0,1,24.0,1,262.0,0,6
1,1,15.0,1,140.0,3,10
3,0,27.0,2,375.0,1,7
0,1,22.0,0,170.0,2,8
1,1,59.0,0,103.0,3,1
1,4,44.0,1,78.0,5,1
2,4,63.0,2,364.0,5,8
2,4,67.0,0,265.0,3,5
0,3,64.0,1,289.0,3,10
3,1,34.0,1,361.0,3,1
2,2,95.0,0,267.0,0,7
1,0,35.0,2,295.0,6,6
0,1,22.0,1,222.0,6,10
2,0,10.0,0,72.0,2,6
2,4,94.0,0,331.0,6,12
2,0,50.0,1,496.0,4,1
2,4,57.0,2,232.0,1,3
1,2,26.0,0,116.0,4,1
0,2,63.0,2,50.0,4,1
0,0,30.0,2,303.0,5,10
1,3,87.0,2,500.0,5,2
2,1,23.0,2,293.0,6,4
1,3,68.0,0,208.0,0,10
1,0,17.0,2,452.0,6,9
2,0,25.0,2,51.0,5,8
3,0,71.0,2,249.0,2,10
1,0,25.0,1,457.0,2,8
3,2,35.0,0,260.0,6,3
3,1,45.0,0,288.0,2,5
2,0,73.0,2,216.0,1,1
2,1,29.0,1,269.0,1,3
2,1,61.0,0,90.0,4,3
3,0,26.0,2,194.0,3,9
3,1,99.0,1,389.0,3,8
1,3,86.0,2,254.0,0,4
1,0,90.0,1,171.0,0,4
3,1,86.0,2,252.0,0,9
0,4,49.0,1,409.0,4,1
2,4,50.0,0,306.0,2,12
2,3,81.0,1,412.0,0,9
2,4,74.0,2,421.0,1,7
1,0,76.0,1,171.0,3,8
1,0,42.0,0,112.0,6,10
1,0,16.0,2,112.0,3,7
1,4,85.0,0,360.0,3,10
2,0,60.0,2,130.0,5,5
0,3,53.0,2,60.0,1,3
1,0,74.0,2,343.0,6,3
2,0,21.0,1,377.0,0,1
1,2,86.0,0,260.0,2,9
1,2,88.0,2,68.0,2,1
2,3,52.0,1,457.0,6,6
0,3,54.0,2,332.0,5,5
1,3,62.0,2,98.0,4,2
1,3,97.0,0,217.0,0,8
0,4,36.0,2,363.0,0,10
0,1,93.0,2,405.0,1,8
1,2,89.0,0,460.0,0,1
3,3,37.0,1,339.0,1,2
0,2,93.0,2,202.0,3,1
2,2,24.0,1,131.0,0,12
3,1,20.0,2,269.0,5,1
2,2,14.0,2,228.0,2,9
0,0,12.0,0,440.0,4,2
2,0,55.0,0,216.0,6,2
3,1,29.0,2,452.0,1,3
2,4,30.0,0,307.0,6,4
1,1,67.0,2,430.0,2,5
3,3,27.0,1,329.0,0,2
3,3,14.0,2,485.0,1,3
2,1,53.0,1,458.0,6,8
0,2,20.0,2,54.0,1,5
3,4,89.0,1,65.0,3,4
2,3,12.0,0,245.0,5,4
3,1,55.0,2,491.0,5,11
0,3,92.0,1,198.0,4,1
0,4,71.0,2,369.0,1,5
3,3,57.0,1,378.0,0,3
0,0,25.0,1,191.0,1,1
2,3,74.0,1,432.0,6,3
1,0,15.0,0,134.0,6,8
1,2,13.0,0,82.0,1,2
1,3,50.0,2,84.0,4,11
3,2,30.0,2,352.0,3,9
0,4,20.0,1,112.0,5,10
1,1,53.0,1,329.0,1,2
2,3,62.0,2,130.0,1,10
2,1,91.0,1,423.0,5,10
1,3,19.0,2,492.0,1,2
3,1,61.0,0,352.0,4,4
3,2,80.0,1,422.0,4,1
1,3,42.0,2,420.0,1,5
2,2,62.0,2,262.0,4,4
2,0,70.0,0,129.0,4,2
3,3,41.0,0,122.0,4,11
2,3,41.0,0,360.0,2,9
2,1,56.0,0,142.0,1,7
0,0,91.0,2,75.0,3,7
1,0,58.0,0,389.0,2,4
3,4,75.0,1,261.0,2,2
0,2,11.0,0,108.0,5,10
2,3,74.0,0,261.0,3,5
2,4,67.0,0,119.0,2,1
3,4,62.0,1,269.0,1,11
1,4,91.0,1,413.0,4,1
3,3,24.0,0,170.0,0,4
0,0,29.0,2,157.0,6,1
1,3,12.0,0,488.0,1,9
1,3,26.0,2,391.0,4,5
2,0,30.0,1,280.0,3,4
0,3,32.0,0,82.0,0,2
1,1,32.0,0,465.0,2,6
3,2,93.0,0,412.0,5,9
2,0,55.0,0,398.0,2,5
1,2,94.0,0,121.0,1,12
0,3,82.0,1,200.0,0,7
3,4,23.0,1,54.0,4,6
3,2,14.0,1,163.0,3,3
0,1,74.0,2,150.0,4,9
1,1,47.0,0,463.0,1,7
0,3,44.0,1,491.0,4,6
3,0,80.0,1,322.0,0,2
3,1,11.0,2,437.0,0,12
1,4,59.0,0,375.0,5,1
0,2,89.0,0,494.0,1,12
1,4,10.0,1,75.0,3,10
2,2,37.0,1,433.0,2,6
3,1,76.0,0,300.0,2,9
0,1,47.0,1,50.0,5,1
2,0,83.0,1,173.0,5,8
3,0,75.0,2,413.0,3,5
1,3,18.0,2,250.0,1,9
2,0,29.0,1,176.0,3,3
1,2,49.0,1,171.0,2,4
0,0,44.0,0,255.0,0,3
3,3,83.0,2,196.0,2,8
3,3,25.0,2,267.0,4,7
1,3,80.0,0,490.0,4,8
0,1,25.0,1,285.0,6,5
2,0,49.0,1,459.0,3,9
3,4,58.0,2,350.0,0,2
2,4,89.0,0,218.0,2,7
2,2,85.0,0,184.0,3,2
0,1,86.0,2,432.0,1,8
2,1,51.0,2,469.0,2,6
1,0,11.0,2,356.0,0,11
3,4,43.0,0,258.0,0,8
2,3,73.0,0,104.0,0,4
1,2,77.0,0,369.0,6,12
1,3,73.0,0,241.0,2,12
0,3,98.0,1,129.0,2,10
0,4,18.0,0,400.0,1,3
2,0,90.0,0,312.0,3,1
1,0,30.0,2,258.0,1,3
1,1,48.0,1,169.0,3,10
2,0,68.0,2,401.0,6,6
0,1,90.0,2,309.0,2,12
3,1,62.0,2,497.0,6,4
3,2,57.0,2,188.0,6,2
2,3,40.0,2,415.0,4,9
2,1,26.0,2,72.0,6,10
0,2,68.0,0,268.0,2,3
1,3,82.0,2,222.0,5,5
3,3,38.0,2,62.0,1,1
2,0,67.0,0,102.0,5,2
3,2,30.0,1,449.0,0,7
3,3,29.0,2,347.0,0,4
1,4,55.0,0,187.0,0,2
1,0,26.0,0,221.0,6,9
3,1,65.0,2,387.0,3,3
0,4,25.0,2,451.0,3,4
3,4,37.0,2,497.0,5,1
1,4,75.0,2,250.0,0,5
3,4,32.0,2,76.0,3,2
1,4,43.0,1,234.0,5,9
3,3,89.0,0,490.0,3,11
3,4,18.0,0,489.0,1,9
0,1,35.0,1,422.0,1,6
1,1,39.0,1,307.0,4,2
3,1,92.0,1,53.0,3,8
3,3,67.0,0,282.0,5,4
2,1,18.0,0,429.0,6,11
0,3,81.0,2,170.0,4,4
2,4,27.0,0,438.0,4,11
2,4,14.0,2,275.0,3,5
0,2,28.0,0,408.0,0,3
0,4,66.0,1,293.0,5,5
3,2,91.0,2,226.0,0,2
3,4,13.0,2,334.0,6,6
3,1,66.0,1,87.0,1,5
3,3,55.0,1,321.0,3,1
0,4,74.0,1,215.0,2,4
3,4,29.0,2,316.0,5,4
3,1,31.0,0,247.0,6,2
0,4,85.0,0,346.0,2,7
0,2,12.0,0,190.0,6,11
2,0,25.0,0,474.0,2,2
1,1,58.0,0,204.0,0,3
0,3,39.0,2,163.0,2,6
0,0,65.0,0,303.0,2,5
0,4,76.0,1,205.0,5,12
0,0,21.0,2,79.0,4,5
0,4,73.0,2,415.0,5,3
0,1,30.0,1,425.0,3,12
2,2,95.0,0,346.0,4,4
0,1,60.0,2,181.0,3,1
3,2,21.0,2,365.0,4,4
1,2,28.0,1,249.0,6,6
3,0,27.0,0,70.0,6,8
1,2,20.0,1,421.0,3,8
3,4,95.0,2,291.0,1,3
1,1,81.0,2,289.0,1,4
2,1,40.0,1,239.0,4,4
2,4,37.0,2,298.0,0,1
3,4,40.0,2,313.0,2,9
2,1,78.0,0,147.0,0,12
0,3,38.0,2,491.0,6,2
1,4,94.0,1,229.0,2,7
1,0,19.0,2,475.0,0,1
2,2,89.0,1,282.0,4,9
3,0,35.0,0,422.0,0,9
1,0,93.0,1,146.0,2,12
1,2,15.0,1,429.0,3,4
0,4,29.0,0,236.0,3,7
3,2,30.0,2,223.0,5,4
2,0,95.0,2,236.0,5,10
1,1,34.0,2,232.0,2,3
3,4,83.0,2,123.0,5,1
0,2,37.0,2,91.0,1,7
2,0,90.0,0,473.0,5,11
3,3,46.0,0,271.0,1,8
3,2,42.0,0,427.0,1,2
3,2,88.0,0,123.0,6,4
2,1,61.0,1,471.0,4,11
1,1,68.0,2,439.0,1,7
3,4,89.0,2,236.0,4,7
2,3,31.0,2,221.0,4,8
0,1,25.0,0,422.0,3,3
1,4,36.0,1,116.0,6,9
0,2,32.0,0,479.0,5,4
0,3,46.0,1,124.0,1,2
0,1,44.0,0,305.0,3,6
1,4,90.0,0,392.0,5,11
2,4,41.0,0,355.0,0,9
1,3,52.0,1,241.0,2,12
1,2,43.0,1,166.0,6,3
0,1,81.0,1,234.0,6,4
0,2,12.0,0,254.0,3,9
2,0,90.0,1,418.0,1,3
3,4,24.0,2,137.0,2,4
1,4,76.0,0,230.0,5,6
0,3,96.0,0,334.0,0,11
1,2,15.0,1,310.0,5,4
1,4,47.0,2,401.0,3,2
2,4,85.0,2,448.0,1,11
0,2,57.0,1,448.0,6,3
3,1,40.0,2,401.0,1,6
1,2,100.0,1,213.0,6,6
1,4,25.0,0,386.0,0,11
1,2,34.0,2,270.0,6,6
0,4,99.0,0,374.0,0,10
3,1,87.0,0,496.0,4,3
3,3,22.0,2,341.0,6,3
0,1,90.0,2,196.0,3,10
2,0,30.0,0,158.0,4,10
3,2,41.0,0,189.0,5,8
2,3,62.0,1,353.0,5,12
0,4,47.0,1,276.0,6,10
3,1,39.0,1,223.0,6,11
2,1,89.0,2,153.0,2,12
1,3,43.0,0,408.0,6,2
3,0,67.0,1,305.0,0,4
0,3,50.0,0,324.0,2,11
2,3,52.0,0,216.0,5,3
0,0,82.0,0,78.0,5,6
1,1,24.0,2,51.0,3,5
0,3,46.0,0,479.0,3,9
0,0,12.0,0,265.0,3,12
1,1,88.0,1,389.0,4,2
1,0,79.0,1,97.0,3,5
3,3,34.0,0,493.0,4,7
3,3,36.0,0,298.0,3,9
1,1,47.0,0,115.0,6,12
0,0,39.0,1,211.0,0,3
1,1,20.0,1,66.0,6,1
1,4,42.0,1,188.0,3,12
0,0,60.0,2,175.0,3,1
2,1,92.0,1,176.0,1,3
0,2,79.0,1,352.0,1,10
1,3,19.0,1,397.0,3,10
3,1,34.0,0,270.0,3,4
1,2,34.0,2,332.0,2,7
3,3,16.0,2,434.0,4,3
1,1,11.0,1,350.0,4,2
3,3,24.0,0,251.0,3,8
3,0,59.0,0,485.0,1,7
1,1,64.0,2,469.0,6,9
2,3,20.0,2,181.0,5,8
2,4,84.0,2,414.0,1,2
0,2,52.0,1,457.0,5,3
3,2,90.0,1,330.0,5,5
1,3,73.0,0,408.0,6,3
2,0,13.0,1,426.0,0,4
2,3,24.0,2,246.0,0,7
3,4,33.0,1,395.0,2,12
1,1,15.0,0,467.0,2,10
2,2,90.0,2,159.0,4,1
3,3,69.0,0,116.0,1,1
3,1,86.0,0,192.0,5,2
2,4,29.0,0,163.0,5,11
1,3,70.0,1,204.0,1,1
1,0,51.0,2,360.0,5,3
1,2,48.0,1,275.0,6,12
2,3,29.0,1,450.0,0,3
1,4,47.0,1,98.0,3,4
3,1,99.0,1,202.0,5,3
3,2,85.0,1,382.0,3,9
1,1,82.0,1,330.0,0,8
0,2,74.0,0,72.0,6,12
2,4,53.0,0,402.0,4,11
3,4,50.0,0,109.0,2,4
3,4,77.0,0,282.0,6,2
0,1,100.0,1,101.0,6,8
2,3,98.0,1,293.0,1,1
2,0,43.0,1,340.0,5,2
3,4,85.0,0,315.0,3,8
2,1,52.0,2,94.0,1,5
2,4,56.0,1,263.0,0,12
3,3,41.0,1,320.0,3,2
2,0,56.0,1,57.0,3,6
0,4,96.0,1,72.0,3,12
1,4,63.0,0,240.0,6,1
0,2,39.0,2,346.0,4,4
1,4,82.0,1,70.0,5,3
3,0,47.0,1,211.0,5,5
2,4,81.0,2,56.0,0,2
2,3,91.0,2,175.0,3,9
2,0,15.0,1,328.0,4,8
0,1,72.0,2,73.0,3,4
1,3,80.0,1,267.0,4,2
3,2,64.0,2,134.0,4,7
0,1,98.0,1,406.0,5,3
3,1,13.0,2,373.0,3,4
3,1,94.0,1,431.0,5,8
3,2,35.0,1,261.0,3,1
3,0,96.0,0,429.0,4,7
0,1,97.0,0,209.0,0,4
3,2,83.0,0,157.0,6,8
1,4,37.0,0,197.0,6,6
3,3,33.0,0,402.0,5,10
0,3,75.0,2,57.0,1,4
3,2,88.0,0,264.0,4,3
0,0,34.0,2,472.0,5,3
3,2,92.0,1,379.0,4,1
2,3,92.0,1,344.0,2,9
0,4,59.0,2,356.0,6,2
3,3,11.0,2,74.0,1,12
1,3,82.0,2,453.0,5,3
2,4,20.0,0,60.0,6,4
1,2,82.0,1,442.0,1,4
2,2,71.0,0,84.0,5,11
2,2,72.0,2,261.0,6,7
0,1,58.0,1,331.0,5,9
1,3,77.0,2,102.0,0,8
1,4,13.0,0,126.0,4,7
2,4,12.0,0,354.0,6,5
0,4,82.0,2,492.0,0,8
3,0,10.0,2,421.0,4,3
0,1,100.0,2,449.0,3,7
3,4,62.0,1,144.0,1,7
3,1,93.0,2,122.0,3,9
2,2,49.0,2,499.0,5,4
0,3,57.0,1,151.0,2,10
2,3,62.0,0,120.0,4,8
0,2,59.0,2,481.0,4,10
0,2,55.0,0,447.0,1,5
0,3,64.0,0,442.0,2,6
1,1,74.0,1,360.0,5,10
2,3,63.0,1,199.0,0,3
0,2,34.0,1,103.0,3,5
1,3,85.0,2,172.0,3,4
1,2,75.0,0,465.0,5,7
2,3,86.0,0,353.0,6,12
2,1,77.0,0,381.0,4,1
2,0,20.0,2,179.0,4,9
1,3,34.0,2,355.0,5,3
1,2,31.0,1,231.0,5,7
2,2,81.0,1,450.0,5,8
3,2,31.0,0,386.0,1,3
1,1,28.0,0,339.0,0,1
3,3,25.0,1,59.0,5,4
3,1,36.0,1,251.0,5,4
2,1,94.0,0,327.0,0,3
3,2,94.0,1,74.0,4,8
0,3,70.0,1,156.0,1,6
2,2,78.0,2,400.0,5,3
1,0,10.0,2,180.0,5,3
1,4,85.0,0,460.0,4,11
3,1,44.0,0,375.0,2,5
0,0,52.0,2,491.0,3,2
2,2,63.0,2,500.0,5,10
2,2,47.0,0,277.0,2,4
0,0,64.0,1,282.0,2,5
2,1,88.0,0,189.0,2,12
2,0,58.0,1,427.0,1,2
3,0,64.0,2,261.0,3,9
2,4,81.0,0,233.0,1,12
1,2,36.0,2,253.0,1,11
0,0,12.0,0,294.0,0,5
2,4,39.0,1,88.0,2,11
0,2,47.0,2,188.0,1,8
0,4,68.0,2,444.0,5,6
2,4,32.0,2,270.0,0,12
2,0,17.0,0,87.0,4,10
2,2,81.0,0,184.0,6,6
2,3,65.0,2,455.0,1,4
3,3,85.0,2,143.0,0,6
0,3,26.0,1,368.0,1,11
0,0,61.0,2,116.0,0,4
2,0,10.0,1,494.0,4,7
2,0,50.0,1,470.0,5,12
1,3,20.0,2,168.0,3,9
2,0,14.0,0,257.0,6,3
3,3,33.0,2,499.0,0,12
2,2,74.0,2,371.0,4,2
3,1,70.0,1,463.0,5,10
2,3,86.0,2,434.0,2,5
1,0,55.0,2,160.0,0,10
1,0,43.0,1,220.0,2,6
1,1,100.0,0,116.0,4,4
1,3,68.0,1,301.0,0,10
1,3,22.0,0,241.0,3,12
3,1,48.0,1,243.0,6,3
0,2,13.0,2,183.0,6,5
0,3,57.0,1,285.0,5,8
3,1,83.0,0,220.0,0,12
3,0,72.0,1,474.0,6,11
0,2,12.0,2,276.0,4,3
2,2,50.0,0,232.0,6,2
3,4,10.0,1,497.0,3,12
0,1,22.0,2,361.0,5,10
3,4,92.0,1,384.0,1,1
3,3,47.0,0,181.0,1,6
0,0,99.0,2,57.0,0,9
3,2,88.0,2,356.0,5,4
3,0,48.0,1,487.0,0,12
2,0,79.0,2,314.0,2,1
1,2,49.0,0,401.0,5,4
0,3,16.0,1,376.0,5,10
1,2,31.0,0,109.0,1,12
3,1,44.0,0,59.0,4,9
0,3,54.0,2,319.0,2,12
0,4,62.0,0,192.0,2,7
2,4,87.0,2,306.0,2,7
0,0,32.0,0,144.0,0,10
3,4,42.0,0,219.0,1,3
3,3,81.0,1,230.0,2,7
0,1,50.0,0,180.0,2,4
1,4,100.0,2,116.0,5,2
1,3,74.0,0,310.0,2,3
2,0,53.0,2,450.0,4,8
2,2,10.0,0,309.0,2,11
1,1,25.0,1,216.0,3,10
0,3,85.0,1,229.0,4,10
3,4,61.0,1,164.0,0,1
1,2,71.0,0,272.0,6,3
3,1,47.0,0,307.0,3,7
1,4,20.0,1,73.0,4,3
0,2,45.0,2,448.0,0,10
3,0,10.0,2,342.0,4,5
3,1,92.0,0,240.0,0,12
3,2,77.0,1,273.0,1,1
1,2,43.0,0,288.0,1,3
0,3,66.0,2,121.0,1,6
0,4,91.0,2,291.0,2,9
3,2,83.0,1,188.0,2,2
2,2,96.0,0,442.0,6,2
1,3,72.0,2,465.0,3,9
0,2,75.0,0,77.0,6,6
1,3,69.0,1,295.0,0,3
2,2,62.0,0,477.0,4,3
1,4,58.0,0,438.0,3,7
1,4,20.0,2,129.0,2,2
0,0,63.0,1,186.0,2,5
3,1,24.0,2,374.0,0,3
2,3,68.0,2,139.0,6,5
1,4,91.0,2,373.0,6,10
3,2,96.0,2,493.0,5,7
3,1,31.0,2,164.0,2,8
1,4,22.0,0,90.0,2,6
2,4,79.0,1,188.0,4,12
1,1,67.0,1,465.0,5,3
2,2,28.0,0,429.0,6,5
3,0,27.0,0,196.0,2,5
3,4,86.0,2,490.0,4,8
3,4,65.0,2,315.0,4,4
2,2,57.0,2,255.0,0,1
2,4,19.0,0,267.0,1,4
1,0,47.0,1,382.0,1,9
3,1,54.0,1,90.0,3,7
0,3,44.0,0,252.0,6,11
1,0,14.0,1,252.0,4,1
0,1,93.0,2,125.0,0,4
3,2,23.0,2,82.0,2,7
1,2,82.0,1,358.0,3,1
3,3,14.0,0,497.0,3,10
0,3,32.0,1,483.0,2,3
1,2,22.0,2,452.0,0,4
1,4,60.0,2,159.0,0,2
0,0,64.0,1,275.0,4,2
2,0,67.0,1,81.0,2,6
0,3,80.0,0,480.0,5,3
2,4,62.0,0,83.0,0,12
2,0,17.0,0,151.0,0,7
3,3,24.0,0,457.0,1,6
2,3,68.0,1,455.0,6,8
3,1,89.0,1,67.0,6,10
2,2,69.0,0,113.0,2,10
1,3,78.0,1,126.0,6,4
2,0,14.0,2,448.0,1,7
0,4,78.0,1,433.0,6,10
3,0,18.0,0,308.0,5,3
0,2,85.0,0,146.0,3,3
0,4,26.0,2,93.0,2,4
0,1,25.0,0,295.0,5,6
1,0,26.0,2,112.0,1,4
2,1,74.0,0,173.0,4,3
1,0,45.0,0,58.0,4,11
1,4,65.0,1,312.0,0,3
0,4,73.0,2,480.0,5,12
2,2,78.0,0,218.0,4,6
0,3,56.0,0,381.0,2,1
2,2,80.0,2,179.0,4,7
0,0,55.0,0,426.0,6,8
0,4,45.0,0,169.0,0,11
2,1,50.0,2,493.0,0,2
0,2,67.0,0,137.0,3,1
0,3,48.0,0,50.0,2,5
2,4,100.0,2,66.0,6,4
0,1,54.0,1,382.0,4,4
0,2,20.0,0,462.0,0,12
0,0,65.0,1,105.0,3,5
1,1,26.0,2,310.0,6,3
