Event_ID,Event_Name,Event_Type,Event_Date,Location,Ticket_Price,Weather_Condition,Attendance_Count,Day_of_Week
50,Event 50,Expo,2023-11-30,B,56,Sunny,173,Thursday
51,Event 51,Conference,2022-02-22,D,82,Cloudy,130,Tuesday
52,Event 52,Conference,2024-02-21,D,94,Cloudy,363,Wednesday
53,Event 53,Expo,2022-03-23,E,38,Cloudy,54,Wednesday
54,Event 54,Expo,2023-08-29,D,29,Sunny,86,Tuesday
55,Event 55,Conference,2024-04-30,D,10,Cloudy,80,Tuesday
56,Event 56,Workshop,2022-06-09,E,64,Rainy,489,Thursday
57,Event 57,Expo,2022-06-19,D,92,Rainy,323,Sunday
58,Event 58,Workshop,2024-04-03,A,76,Cloudy,174,Wednesday
59,Event 59,Expo,2024-02-12,D,46,Rainy,51,Monday
60,Event 60,Expo,2023-07-19,B,81,Rainy,198,Wednesday
61,Event 61,Expo,2022-07-08,D,39,Rainy,227,Friday
62,Event 62,Workshop,2023-06-26,E,33,Rainy,71,Monday
63,Event 63,Expo,2023-06-12,D,49,Cloudy,440,Monday
64,Event 64,Workshop,2023-09-22,D,100,Cloudy,301,Friday
65,Event 65,Conference,2023-02-26,E,91,Rainy,471,Sunday
66,Event 66,Conference,2024-04-22,C,84,Sunny,380,Monday
67,Event 67,Concert,2022-12-03,A,58,Sunny,410,Saturday
68,Event 68,Concert,2022-09-18,A,22,Cloudy,364,Sunday
69,Event 69,Workshop,2022-11-08,C,82,Rainy,185,Tuesday
70,Event 70,Workshop,2023-11-22,B,90,Rainy,404,Wednesday
71,Event 71,Expo,2023-03-11,A,14,Sunny,432,Saturday
72,Event 72,Expo,2023-09-16,C,28,Rainy,465,Saturday
73,Event 73,Workshop,2023-02-12,E,62,Rainy,409,Sunday
74,Event 74,Concert,2023-12-05,B,92,Rainy,203,Tuesday
75,Event 75,Workshop,2023-11-17,D,47,Sunny,420,Friday
76,Event 76,Conference,2022-12-02,E,22,Cloudy,230,Friday
77,Event 77,Expo,2024-02-24,D,98,Cloudy,449,Saturday
78,Event 78,Workshop,2023-04-11,A,56,Rainy,124,Tuesday
79,Event 79,Conference,2024-03-14,E,24,Sunny,453,Thursday
80,Event 80,Concert,2023-03-12,D,16,Rainy,284,Sunday
81,Event 81,Conference,2022-10-27,B,99,Sunny,406,Thursday
82,Event 82,Conference,2022-04-05,B,89,Sunny,231,Tuesday
83,Event 83,Expo,2024-04-03,D,31,Cloudy,392,Wednesday
84,Event 84,Expo,2022-04-06,D,93,Rainy,478,Wednesday
85,Event 85,Workshop,2022-11-02,B,85,Rainy,489,Wednesday
86,Event 86,Workshop,2024-02-13,D,26,Sunny,341,Tuesday
87,Event 87,Conference,2022-03-09,E,28,Cloudy,466,Wednesday
88,Event 88,Concert,2022-12-09,A,80,Rainy,346,Friday
89,Event 89,Expo,2023-11-29,A,96,Rainy,120,Wednesday
90,Event 90,Concert,2022-05-01,D,33,Sunny,194,Sunday
91,Event 91,Concert,2022-12-14,C,76,Rainy,320,Wednesday
92,Event 92,Workshop,2023-10-26,A,64,Cloudy,340,Thursday
93,Event 93,Workshop,2024-03-09,C,51,Cloudy,390,Saturday
94,Event 94,Expo,2024-02-04,C,77,Sunny,224,Sunday
95,Event 95,Expo,2023-07-15,B,15,Cloudy,274,Saturday
96,Event 96,Workshop,2023-08-07,B,69,Rainy,413,Monday
97,Event 97,Workshop,2022-11-23,D,37,Rainy,124,Wednesday
98,Event 98,Conference,2022-12-29,A,44,Cloudy,385,Thursday
99,Event 99,Workshop,2022-12-23,D,61,Sunny,60,Friday
100,Event 100,Concert,2022-08-16,A,64,Sunny,498,Tuesday
101,Event 101,Expo,2023-02-25,C,29,Sunny,199,Saturday
102,Event 102,Conference,2023-10-09,A,55,Cloudy,309,Monday
103,Event 103,Concert,2022-08-02,B,53,Rainy,143,Tuesday
104,Event 104,Concert,2023-06-13,B,55,Cloudy,232,Tuesday
105,Event 105,Conference,2023-03-11,E,76,Sunny,353,Saturday
106,Event 106,Expo,2022-11-14,E,42,Rainy,388,Monday
107,Event 107,Concert,2022-05-23,D,20,Cloudy,141,Monday
108,Event 108,Workshop,2023-08-19,B,13,Cloudy,60,Saturday
109,Event 109,Workshop,2023-08-29,E,15,Rainy,251,Tuesday
110,Event 110,Expo,2023-04-11,A,17,Rainy,343,Tuesday
111,Event 111,Conference,2023-06-18,B,44,Cloudy,124,Sunday
112,Event 112,Expo,2023-05-07,E,84,Rainy,94,Sunday
113,Event 113,Workshop,2022-08-07,D,90,Cloudy,134,Sunday
114,Event 114,Concert,2023-01-05,A,82,Cloudy,395,Thursday
115,Event 115,Workshop,2022-12-06,C,19,Sunny,208,Tuesday
116,Event 116,Expo,2022-12-16,D,31,Rainy,172,Friday
117,Event 117,Expo,2023-10-04,E,32,Sunny,74,Wednesday
118,Event 118,Concert,2022-09-22,C,82,Sunny,139,Thursday
119,Event 119,Workshop,2022-08-03,B,57,Rainy,277,Wednesday
120,Event 120,Conference,2022-06-16,D,40,Sunny,437,Thursday
121,Event 121,Workshop,2022-07-21,E,51,Cloudy,435,Thursday
122,Event 122,Conference,2022-09-21,B,54,Sunny,150,Wednesday
123,Event 123,Concert,2022-10-01,D,40,Cloudy,369,Saturday
124,Event 124,Conference,2022-11-16,D,45,Rainy,65,Wednesday
125,Event 125,Workshop,2024-02-18,D,95,Cloudy,66,Sunday
126,Event 126,Conference,2023-07-14,B,35,Rainy,286,Friday
127,Event 127,Conference,2024-04-06,C,66,Sunny,197,Saturday
128,Event 128,Workshop,2022-12-05,A,43,Cloudy,207,Monday
129,Event 129,Expo,2022-10-15,A,10,Sunny,429,Saturday
130,Event 130,Concert,2023-07-29,B,93,Cloudy,408,Saturday
131,Event 131,Expo,2024-03-01,E,54,Rainy,492,Friday
132,Event 132,Concert,2023-03-13,D,18,Rainy,58,Monday
133,Event 133,Workshop,2023-04-14,C,40,Rainy,69,Friday
134,Event 134,Workshop,2022-10-03,E,82,Sunny,156,Monday
135,Event 135,Workshop,2022-05-22,A,86,Sunny,340,Sunday
136,Event 136,Conference,2022-08-17,E,98,Sunny,459,Wednesday
137,Event 137,Concert,2024-02-02,E,45,Rainy,360,Friday
138,Event 138,Expo,2024-02-09,C,32,Cloudy,227,Friday
139,Event 139,Conference,2023-08-11,D,18,Rainy,391,Friday
140,Event 140,Workshop,2022-04-11,C,58,Sunny,387,Monday
141,Event 141,Workshop,2023-04-19,B,94,Sunny,272,Wednesday
142,Event 142,Workshop,2022-10-25,B,86,Sunny,356,Tuesday
143,Event 143,Expo,2022-05-19,B,17,Rainy,490,Thursday
144,Event 144,Conference,2024-01-20,A,75,Cloudy,322,Saturday
145,Event 145,Concert,2022-04-10,B,65,Rainy,225,Sunday
146,Event 146,Concert,2022-12-20,E,70,Cloudy,185,Tuesday
147,Event 147,Expo,2023-10-03,C,97,Rainy,117,Tuesday
148,Event 148,Concert,2023-05-24,A,19,Cloudy,81,Wednesday
149,Event 149,Conference,2022-10-02,C,85,Cloudy,190,Sunday
150,Event 150,Expo,2024-03-18,E,60,Cloudy,174,Monday
151,Event 151,Expo,2023-07-25,C,60,Cloudy,103,Tuesday
152,Event 152,Conference,2022-11-24,C,65,Sunny,146,Thursday
153,Event 153,Conference,2022-03-18,A,21,Rainy,398,Friday
154,Event 154,Conference,2023-03-11,B,90,Cloudy,331,Saturday
155,Event 155,Expo,2022-11-14,D,35,Cloudy,230,Monday
156,Event 156,Workshop,2023-09-30,B,96,Sunny,400,Saturday
157,Event 157,Concert,2023-02-15,E,14,Rainy,491,Wednesday
158,Event 158,Workshop,2024-01-12,A,11,Rainy,238,Friday
159,Event 159,Expo,2022-07-20,A,50,Rainy,455,Wednesday
160,Event 160,Expo,2022-06-24,A,63,Rainy,370,Friday
161,Event 161,Conference,2024-04-16,A,73,Rainy,478,Tuesday
162,Event 162,Expo,2022-05-04,E,71,Cloudy,259,Wednesday
163,Event 163,Expo,2022-06-12,E,63,Rainy,303,Sunday
164,Event 164,Conference,2022-03-27,A,85,Rainy,467,Sunday
165,Event 165,Expo,2022-10-04,A,91,Rainy,442,Tuesday
166,Event 166,Expo,2022-09-25,D,99,Rainy,234,Sunday
167,Event 167,Conference,2022-03-07,E,78,Sunny,308,Monday
168,Event 168,Conference,2023-01-20,B,24,Sunny,92,Friday
169,Event 169,Workshop,2023-11-11,C,54,Cloudy,396,Saturday
170,Event 170,Workshop,2022-01-26,B,77,Cloudy,176,Wednesday
171,Event 171,Concert,2022-08-29,B,69,Cloudy,109,Monday
172,Event 172,Expo,2023-03-01,C,12,Cloudy,186,Wednesday
173,Event 173,Expo,2022-03-25,A,37,Rainy,363,Friday
174,Event 174,Workshop,2024-01-31,A,10,Cloudy,393,Wednesday
175,Event 175,Concert,2023-02-07,E,66,Rainy,283,Tuesday
176,Event 176,Expo,2022-11-25,C,98,Sunny,204,Friday
177,Event 177,Conference,2023-03-14,B,62,Cloudy,457,Tuesday
178,Event 178,Expo,2022-09-23,A,50,Rainy,422,Friday
179,Event 179,Workshop,2022-06-11,D,88,Sunny,71,Saturday
180,Event 180,Workshop,2022-11-17,E,72,Sunny,57,Thursday
181,Event 181,Workshop,2024-02-18,A,91,Sunny,258,Sunday
182,Event 182,Expo,2024-01-27,C,59,Sunny,147,Saturday
183,Event 183,Expo,2023-08-20,C,99,Cloudy,110,Sunday
184,Event 184,Expo,2023-02-06,A,44,Cloudy,157,Monday
185,Event 185,Expo,2023-03-29,C,38,Sunny,459,Wednesday
186,Event 186,Conference,2022-02-18,D,29,Rainy,393,Friday
187,Event 187,Expo,2023-09-08,C,76,Rainy,389,Friday
188,Event 188,Expo,2022-05-20,B,97,Sunny,91,Friday
189,Event 189,Expo,2023-08-19,D,45,Cloudy,100,Saturday
190,Event 190,Expo,2023-01-20,B,44,Cloudy,321,Friday
191,Event 191,Conference,2023-03-25,C,87,Rainy,390,Saturday
192,Event 192,Expo,2022-08-30,B,54,Rainy,437,Tuesday
193,Event 193,Concert,2024-02-17,B,59,Rainy,262,Saturday
194,Event 194,Concert,2023-02-28,C,23,Cloudy,313,Tuesday
195,Event 195,Expo,2023-12-17,B,31,Rainy,120,Sunday
196,Event 196,Workshop,2022-06-29,E,78,Cloudy,434,Wednesday
197,Event 197,Expo,2024-04-09,D,65,Cloudy,483,Tuesday
198,Event 198,Workshop,2022-08-15,A,42,Rainy,353,Monday
199,Event 199,Workshop,2023-08-01,A,63,Cloudy,117,Tuesday
200,Event 200,Expo,2022-05-04,A,72,Rainy,240,Wednesday
201,Event 201,Expo,2022-11-17,E,57,Rainy,195,Thursday
202,Event 202,Concert,2022-07-22,D,100,Rainy,472,Friday
203,Event 203,Conference,2023-06-05,C,16,Sunny,454,Monday
204,Event 204,Expo,2022-09-04,B,81,Cloudy,459,Sunday
205,Event 205,Conference,2023-01-18,B,87,Sunny,115,Wednesday
206,Event 206,Conference,2023-06-06,D,67,Rainy,269,Tuesday
207,Event 207,Workshop,2024-03-28,D,26,Rainy,55,Thursday
208,Event 208,Conference,2022-05-24,E,79,Sunny,269,Tuesday
209,Event 209,Expo,2024-03-18,A,58,Rainy,300,Monday
210,Event 210,Concert,2022-01-24,D,96,Sunny,205,Monday
211,Event 211,Conference,2022-01-21,C,18,Cloudy,245,Friday
212,Event 212,Workshop,2023-06-13,E,42,Rainy,122,Tuesday
213,Event 213,Concert,2022-07-03,E,29,Cloudy,194,Sunday
214,Event 214,Conference,2023-07-14,A,93,Sunny,59,Friday
215,Event 215,Conference,2023-03-30,E,79,Sunny,57,Thursday
216,Event 216,Workshop,2023-10-05,C,45,Rainy,382,Thursday
217,Event 217,Expo,2022-12-12,A,18,Sunny,75,Monday
218,Event 218,Concert,2022-01-16,D,36,Sunny,138,Sunday
219,Event 219,Concert,2023-06-11,B,29,Rainy,316,Sunday
220,Event 220,Workshop,2022-12-19,E,62,Sunny,181,Monday
221,Event 221,Expo,2023-09-02,D,98,Rainy,373,Saturday
222,Event 222,Workshop,2023-11-10,D,51,Cloudy,94,Friday
223,Event 223,Conference,2022-09-17,C,43,Rainy,278,Saturday
224,Event 224,Workshop,2023-03-03,A,33,Rainy,264,Friday
225,Event 225,Concert,2024-03-04,B,54,Sunny,166,Monday
226,Event 226,Expo,2023-03-12,D,23,Sunny,127,Sunday
227,Event 227,Concert,2022-12-11,D,76,Sunny,224,Sunday
228,Event 228,Conference,2022-09-19,C,30,Cloudy,409,Monday
229,Event 229,Conference,2022-08-07,E,28,Cloudy,253,Sunday
230,Event 230,Concert,2023-06-16,B,24,Rainy,262,Friday
231,Event 231,Conference,2023-10-02,B,15,Rainy,140,Monday
232,Event 232,Workshop,2022-07-02,A,27,Sunny,375,Saturday
233,Event 233,Concert,2022-08-28,B,22,Cloudy,170,Sunday
234,Event 234,Conference,2023-01-02,B,59,Cloudy,103,Monday
235,Event 235,Conference,2022-01-05,E,44,Rainy,78,Wednesday
236,Event 236,Expo,2023-08-09,E,63,Sunny,364,Wednesday
237,Event 237,Expo,2022-05-16,E,67,Cloudy,265,Monday
238,Event 238,Concert,2022-10-10,D,64,Rainy,289,Monday
239,Event 239,Workshop,2024-01-22,B,34,Rainy,361,Monday
240,Event 240,Expo,2023-07-14,C,95,Cloudy,267,Friday
241,Event 241,Conference,2023-06-01,A,35,Sunny,295,Thursday
242,Event 242,Concert,2022-10-27,B,22,Rainy,222,Thursday
243,Event 243,Expo,2023-06-18,A,10,Cloudy,72,Sunday
244,Event 244,Expo,2023-12-07,E,94,Cloudy,331,Thursday
245,Event 245,Expo,2023-01-31,A,50,Rainy,496,Tuesday
246,Event 246,Expo,2024-03-02,E,57,Sunny,232,Saturday
247,Event 247,Conference,2023-01-03,C,26,Cloudy,116,Tuesday
248,Event 248,Concert,2022-01-04,C,63,Sunny,50,Tuesday
249,Event 249,Concert,2023-10-18,A,30,Sunny,303,Wednesday
250,Event 250,Conference,2022-02-23,D,87,Sunny,500,Wednesday
251,Event 251,Expo,2024-04-25,B,23,Sunny,293,Thursday
252,Event 252,Conference,2022-10-14,D,68,Cloudy,208,Friday
253,Event 253,Conference,2022-09-29,A,17,Sunny,452,Thursday
254,Event 254,Expo,2023-08-23,A,25,Sunny,51,Wednesday
255,Event 255,Workshop,2022-10-16,A,71,Sunny,249,Sunday
256,Event 256,Conference,2022-08-28,A,25,Rainy,457,Sunday
257,Event 257,Workshop,2022-03-24,C,35,Cloudy,260,Thursday
258,Event 258,Workshop,2023-05-28,B,45,Cloudy,288,Sunday
259,Event 259,Expo,2023-01-21,A,73,Sunny,216,Saturday
260,Event 260,Expo,2023-03-25,B,29,Rainy,269,Saturday
261,Event 261,Expo,2022-03-15,B,61,Cloudy,90,Tuesday
262,Event 262,Workshop,2022-09-26,A,26,Sunny,194,Monday
263,Event 263,Workshop,2022-08-22,B,99,Rainy,389,Monday
264,Event 264,Conference,2024-04-26,D,86,Sunny,254,Friday
265,Event 265,Conference,2024-04-05,A,90,Rainy,171,Friday
266,Event 266,Workshop,2022-09-23,B,86,Sunny,252,Friday
267,Event 267,Concert,2024-01-23,E,49,Rainy,409,Tuesday
268,Event 268,Expo,2023-12-17,E,50,Cloudy,306,Sunday
269,Event 269,Expo,2022-09-23,D,81,Rainy,412,Friday
270,Event 270,Expo,2023-07-15,E,74,Sunny,421,Saturday
271,Event 271,Conference,2023-08-21,A,76,Rainy,171,Monday
272,Event 272,Conference,2023-10-05,A,42,Cloudy,112,Thursday
273,Event 273,Conference,2023-07-17,A,16,Sunny,112,Monday
274,Event 274,Conference,2022-10-10,E,85,Cloudy,360,Monday
275,Event 275,Expo,2023-05-17,A,60,Sunny,130,Wednesday
276,Event 276,Concert,2024-03-23,D,53,Sunny,60,Saturday
277,Event 277,Conference,2022-03-24,A,74,Sunny,343,Thursday
278,Event 278,Expo,2023-01-27,A,21,Rainy,377,Friday
279,Event 279,Conference,2022-09-11,C,86,Cloudy,260,Sunday
280,Event 280,Conference,2023-01-15,C,88,Sunny,68,Sunday
281,Event 281,Expo,2023-06-08,D,52,Rainy,457,Thursday
282,Event 282,Concert,2022-05-11,D,54,Sunny,332,Wednesday
283,Event 283,Conference,2023-02-07,D,62,Sunny,98,Tuesday
284,Event 284,Conference,2023-08-11,D,97,Cloudy,217,Friday
285,Event 285,Concert,2022-10-28,E,36,Sunny,363,Friday
286,Event 286,Concert,2022-08-27,B,93,Sunny,405,Saturday
287,Event 287,Conference,2024-01-26,C,89,Cloudy,460,Friday
288,Event 288,Workshop,2024-02-03,D,37,Rainy,339,Saturday
289,Event 289,Concert,2023-01-16,C,93,Sunny,202,Monday
290,Event 290,Expo,2022-12-16,C,24,Rainy,131,Friday
291,Event 291,Workshop,2022-01-05,B,20,Sunny,269,Wednesday
292,Event 292,Expo,2022-09-18,C,14,Sunny,228,Sunday
293,Event 293,Concert,2022-02-08,A,12,Cloudy,440,Tuesday
294,Event 294,Expo,2024-02-01,A,55,Cloudy,216,Thursday
295,Event 295,Workshop,2024-03-02,B,29,Sunny,452,Saturday
296,Event 296,Expo,2022-04-07,E,30,Cloudy,307,Thursday
297,Event 297,Conference,2023-05-28,B,67,Sunny,430,Sunday
298,Event 298,Workshop,2023-02-10,D,27,Rainy,329,Friday
299,Event 299,Workshop,2024-03-23,D,14,Sunny,485,Saturday
300,Event 300,Expo,2023-08-10,B,53,Rainy,458,Thursday
301,Event 301,Concert,2022-05-21,C,20,Sunny,54,Saturday
302,Event 302,Workshop,2022-04-04,E,89,Rainy,65,Monday
303,Event 303,Expo,2024-04-10,D,12,Cloudy,245,Wednesday
304,Event 304,Workshop,2023-11-08,B,55,Sunny,491,Wednesday
305,Event 305,Concert,2023-01-17,D,92,Rainy,198,Tuesday
306,Event 306,Concert,2022-05-21,E,71,Sunny,369,Saturday
307,Event 307,Workshop,2023-03-24,D,57,Rainy,378,Friday
308,Event 308,Concert,2023-01-14,A,25,Rainy,191,Saturday
309,Event 309,Expo,2024-03-07,D,74,Rainy,432,Thursday
310,Event 310,Conference,2022-08-04,A,15,Cloudy,134,Thursday
311,Event 311,Conference,2022-02-12,C,13,Cloudy,82,Saturday
312,Event 312,Conference,2023-11-28,D,50,Sunny,84,Tuesday
313,Event 313,Workshop,2022-09-26,C,30,Sunny,352,Monday
314,Event 314,Concert,2022-10-19,E,20,Rainy,112,Wednesday
315,Event 315,Conference,2024-02-03,B,53,Rainy,329,Saturday
316,Event 316,Expo,2023-10-28,D,62,Sunny,130,Saturday
317,Event 317,Expo,2022-10-26,B,91,Rainy,423,Wednesday
318,Event 318,Conference,2024-02-03,D,19,Sunny,492,Saturday
319,Event 319,Workshop,2022-04-19,B,61,Cloudy,352,Tuesday
320,Event 320,Workshop,2024-01-09,C,80,Rainy,422,Tuesday
321,Event 321,Conference,2023-05-20,D,42,Sunny,420,Saturday
322,Event 322,Expo,2023-04-04,C,62,Sunny,262,Tuesday
323,Event 323,Expo,2023-02-21,A,70,Cloudy,129,Tuesday
324,Event 324,Workshop,2023-11-14,D,41,Cloudy,122,Tuesday
325,Event 325,Expo,2022-09-04,D,41,Cloudy,360,Sunday
326,Event 326,Expo,2023-07-01,B,56,Cloudy,142,Saturday
327,Event 327,Concert,2023-07-17,A,91,Sunny,75,Monday
328,Event 328,Conference,2024-04-07,A,58,Cloudy,389,Sunday
329,Event 329,Workshop,2022-02-20,E,75,Rainy,261,Sunday
330,Event 330,Concert,2022-10-05,C,11,Cloudy,108,Wednesday
331,Event 331,Expo,2023-05-22,D,74,Cloudy,261,Monday
332,Event 332,Expo,2022-01-23,E,67,Cloudy,119,Sunday
333,Event 333,Workshop,2023-11-11,E,62,Rainy,269,Saturday
334,Event 334,Conference,2023-01-24,E,91,Rainy,413,Tuesday
335,Event 335,Workshop,2022-04-29,D,24,Cloudy,170,Friday
336,Event 336,Concert,2022-01-06,A,29,Sunny,157,Thursday
337,Event 337,Conference,2022-09-24,D,12,Cloudy,488,Saturday
338,Event 338,Conference,2022-05-03,D,26,Sunny,391,Tuesday
339,Event 339,Expo,2023-04-03,A,30,Rainy,280,Monday
340,Event 340,Concert,2023-02-03,D,32,Cloudy,82,Friday
341,Event 341,Conference,2022-06-05,B,32,Cloudy,465,Sunday
342,Event 342,Workshop,2023-09-27,C,93,Cloudy,412,Wednesday
343,Event 343,Expo,2022-05-29,A,55,Cloudy,398,Sunday
344,Event 344,Conference,2022-12-17,C,94,Cloudy,121,Saturday
345,Event 345,Concert,2023-07-14,D,82,Rainy,200,Friday
346,Event 346,Workshop,2023-06-27,E,23,Rainy,54,Tuesday
347,Event 347,Workshop,2022-03-21,C,14,Rainy,163,Monday
348,Event 348,Concert,2022-09-06,B,74,Sunny,150,Tuesday
349,Event 349,Conference,2022-07-09,B,47,Cloudy,463,Saturday
350,Event 350,Concert,2023-06-27,D,44,Rainy,491,Tuesday
351,Event 351,Workshop,2024-02-02,A,80,Rainy,322,Friday
352,Event 352,Workshop,2022-12-30,B,11,Sunny,437,Friday
353,Event 353,Conference,2022-01-05,E,59,Cloudy,375,Wednesday
354,Event 354,Concert,2022-12-24,C,89,Cloudy,494,Saturday
355,Event 355,Conference,2023-10-16,E,10,Rainy,75,Monday
356,Event 356,Expo,2023-06-18,C,37,Rainy,433,Sunday
357,Event 357,Workshop,2023-09-10,B,76,Cloudy,300,Sunday
358,Event 358,Concert,2024-01-10,B,47,Rainy,50,Wednesday
359,Event 359,Expo,2023-08-23,A,83,Rainy,173,Wednesday
360,Event 360,Workshop,2023-05-22,A,75,Sunny,413,Monday
361,Event 361,Conference,2022-09-24,D,18,Sunny,250,Saturday
362,Event 362,Expo,2022-03-14,A,29,Rainy,176,Monday
363,Event 363,Conference,2023-04-16,C,49,Rainy,171,Sunday
364,Event 364,Concert,2022-03-11,A,44,Cloudy,255,Friday
365,Event 365,Workshop,2022-08-07,D,83,Sunny,196,Sunday
366,Event 366,Workshop,2022-07-19,D,25,Sunny,267,Tuesday
367,Event 367,Conference,2023-08-15,D,80,Cloudy,490,Tuesday
368,Event 368,Concert,2022-05-12,B,25,Rainy,285,Thursday
369,Event 369,Expo,2022-09-19,A,49,Rainy,459,Monday
370,Event 370,Workshop,2022-02-25,E,58,Sunny,350,Friday
371,Event 371,Expo,2022-07-03,E,89,Cloudy,218,Sunday
372,Event 372,Expo,2024-02-05,C,85,Cloudy,184,Monday
373,Event 373,Concert,2022-08-13,B,86,Sunny,432,Saturday
374,Event 374,Expo,2022-06-26,B,51,Sunny,469,Sunday
375,Event 375,Conference,2022-11-11,A,11,Sunny,356,Friday
376,Event 376,Workshop,2023-08-11,E,43,Cloudy,258,Friday
377,Event 377,Expo,2022-04-08,D,73,Cloudy,104,Friday
378,Event 378,Conference,2022-12-01,C,77,Cloudy,369,Thursday
379,Event 379,Conference,2022-12-04,D,73,Cloudy,241,Sunday
380,Event 380,Concert,2022-10-23,D,98,Rainy,129,Sunday
381,Event 381,Concert,2023-03-25,E,18,Cloudy,400,Saturday
382,Event 382,Expo,2023-01-02,A,90,Cloudy,312,Monday
383,Event 383,Conference,2023-03-18,A,30,Sunny,258,Saturday
384,Event 384,Conference,2023-10-30,B,48,Rainy,169,Monday
385,Event 385,Expo,2022-06-30,A,68,Sunny,401,Thursday
386,Event 386,Concert,2022-12-18,B,90,Sunny,309,Sunday
387,Event 387,Workshop,2022-04-28,B,62,Sunny,497,Thursday
388,Event 388,Workshop,2024-02-01,C,57,Sunny,188,Thursday
389,Event 389,Expo,2022-09-20,D,40,Sunny,415,Tuesday
390,Event 390,Expo,2022-10-27,B,26,Sunny,72,Thursday
391,Event 391,Concert,2023-03-05,C,68,Cloudy,268,Sunday
392,Event 392,Conference,2023-05-17,D,82,Sunny,222,Wednesday
393,Event 393,Workshop,2024-01-27,D,38,Sunny,62,Saturday
394,Event 394,Expo,2022-02-09,A,67,Cloudy,102,Wednesday
395,Event 395,Workshop,2022-07-22,C,30,Rainy,449,Friday
396,Event 396,Workshop,2023-04-21,D,29,Sunny,347,Friday
397,Event 397,Conference,2024-02-09,E,55,Cloudy,187,Friday
398,Event 398,Conference,2022-09-08,A,26,Cloudy,221,Thursday
399,Event 399,Workshop,2023-03-06,B,65,Sunny,387,Monday
400,Event 400,Concert,2024-04-01,E,25,Sunny,451,Monday
401,Event 401,Workshop,2024-01-03,E,37,Sunny,497,Wednesday
402,Event 402,Conference,2022-05-06,E,75,Sunny,250,Friday
